"region","haulid","year","lat","lon","stratum","stratumarea","depth","spp","wtcpue"
"Canadian Pacific","84210-001",2018,48.535816,-124.787416,"48--125-100",0,159,"Allocentrotus fragilis",0.38
"Canadian Pacific","84210-001",2018,48.535816,-124.787416,"48--125-100",0,159,"Alosa sapidissima",1.8
"Canadian Pacific","84210-001",2018,48.535816,-124.787416,"48--125-100",0,159,"Anoplopoma fimbria",1528.52
"Canadian Pacific","84210-001",2018,48.535816,-124.787416,"48--125-100",0,159,"Atheresthes stomias",12.08
"Canadian Pacific","84210-001",2018,48.535816,-124.787416,"48--125-100",0,159,"Eopsetta jordani",49.38
"Canadian Pacific","84210-001",2018,48.535816,-124.787416,"48--125-100",0,159,"Gadus chalcogrammus",14.18
"Canadian Pacific","84210-001",2018,48.535816,-124.787416,"48--125-100",0,159,"Gadus macrocephalus",6.44
"Canadian Pacific","84210-001",2018,48.535816,-124.787416,"48--125-100",0,159,"Glyptocephalus zachirus",52.76
"Canadian Pacific","84210-001",2018,48.535816,-124.787416,"48--125-100",0,159,"Hippoglossus stenolepis",2.58
"Canadian Pacific","84210-001",2018,48.535816,-124.787416,"48--125-100",0,159,"Hydrolagus colliei",27.34
"Canadian Pacific","84210-001",2018,48.535816,-124.787416,"48--125-100",0,159,"Microstomus pacificus",135.46
"Canadian Pacific","84210-001",2018,48.535816,-124.787416,"48--125-100",0,159,"Ophiodon elongatus",9.4
"Canadian Pacific","84210-001",2018,48.535816,-124.787416,"48--125-100",0,159,"Parophrys vetulus",118.71
"Canadian Pacific","84210-001",2018,48.535816,-124.787416,"48--125-100",0,159,"Raja rhina",3.46
"Canadian Pacific","84210-001",2018,48.535816,-124.787416,"48--125-100",0,159,"Sebastes jordani",0.26
"Canadian Pacific","84210-001",2018,48.535816,-124.787416,"48--125-100",0,159,"Thaleichthys pacificus",NA
"Canadian Pacific","84210-002",2018,48.4999,-125.063733,"48--126-100",3290.93157726727,138,"Allocentrotus fragilis",0.17
"Canadian Pacific","84210-002",2018,48.4999,-125.063733,"48--126-100",3290.93157726727,138,"Anoplopoma fimbria",1084.42
"Canadian Pacific","84210-002",2018,48.4999,-125.063733,"48--126-100",3290.93157726727,138,"Aphrodita",NA
"Canadian Pacific","84210-002",2018,48.4999,-125.063733,"48--126-100",3290.93157726727,138,"Atheresthes stomias",23.52
"Canadian Pacific","84210-002",2018,48.4999,-125.063733,"48--126-100",3290.93157726727,138,"Balticina septentrionalis",0.17
"Canadian Pacific","84210-002",2018,48.4999,-125.063733,"48--126-100",3290.93157726727,138,"Clupea pallasii",0.16
"Canadian Pacific","84210-002",2018,48.4999,-125.063733,"48--126-100",3290.93157726727,138,"Eopsetta jordani",10.57
"Canadian Pacific","84210-002",2018,48.4999,-125.063733,"48--126-100",3290.93157726727,138,"Gadus chalcogrammus",1.99
"Canadian Pacific","84210-002",2018,48.4999,-125.063733,"48--126-100",3290.93157726727,138,"Gadus macrocephalus",13.54
"Canadian Pacific","84210-002",2018,48.4999,-125.063733,"48--126-100",3290.93157726727,138,"Glyptocephalus zachirus",3.8
"Canadian Pacific","84210-002",2018,48.4999,-125.063733,"48--126-100",3290.93157726727,138,"Hippasteria",NA
"Canadian Pacific","84210-002",2018,48.4999,-125.063733,"48--126-100",3290.93157726727,138,"Hydrolagus colliei",63.98
"Canadian Pacific","84210-002",2018,48.4999,-125.063733,"48--126-100",3290.93157726727,138,"Luidia foliolata",0.34
"Canadian Pacific","84210-002",2018,48.4999,-125.063733,"48--126-100",3290.93157726727,138,"Microstomus pacificus",71.1
"Canadian Pacific","84210-002",2018,48.4999,-125.063733,"48--126-100",3290.93157726727,138,"Parophrys vetulus",2.8
"Canadian Pacific","84210-002",2018,48.4999,-125.063733,"48--126-100",3290.93157726727,138,"Radulinus asprellus",NA
"Canadian Pacific","84210-002",2018,48.4999,-125.063733,"48--126-100",3290.93157726727,138,"Sebastes flavidus",5.47
"Canadian Pacific","84210-003",2018,48.47115,-125.04755,"48--126-100",3290.93157726727,139,"Allocentrotus fragilis",0.2
"Canadian Pacific","84210-003",2018,48.47115,-125.04755,"48--126-100",3290.93157726727,139,"Alosa sapidissima",0.62
"Canadian Pacific","84210-003",2018,48.47115,-125.04755,"48--126-100",3290.93157726727,139,"Anoplopoma fimbria",1399.06
"Canadian Pacific","84210-003",2018,48.47115,-125.04755,"48--126-100",3290.93157726727,139,"Atheresthes stomias",21.04
"Canadian Pacific","84210-003",2018,48.47115,-125.04755,"48--126-100",3290.93157726727,139,"Eopsetta jordani",29.38
"Canadian Pacific","84210-003",2018,48.47115,-125.04755,"48--126-100",3290.93157726727,139,"Gadus chalcogrammus",0.38
"Canadian Pacific","84210-003",2018,48.47115,-125.04755,"48--126-100",3290.93157726727,139,"Gadus macrocephalus",8.2
"Canadian Pacific","84210-003",2018,48.47115,-125.04755,"48--126-100",3290.93157726727,139,"Glyptocephalus zachirus",29.9
"Canadian Pacific","84210-003",2018,48.47115,-125.04755,"48--126-100",3290.93157726727,139,"Hydrolagus colliei",93.35
"Canadian Pacific","84210-003",2018,48.47115,-125.04755,"48--126-100",3290.93157726727,139,"Luidia foliolata",NA
"Canadian Pacific","84210-003",2018,48.47115,-125.04755,"48--126-100",3290.93157726727,139,"Lyopsetta exilis",0.94
"Canadian Pacific","84210-003",2018,48.47115,-125.04755,"48--126-100",3290.93157726727,139,"Mediaster aequalis",NA
"Canadian Pacific","84210-003",2018,48.47115,-125.04755,"48--126-100",3290.93157726727,139,"Microstomus pacificus",96.24
"Canadian Pacific","84210-003",2018,48.47115,-125.04755,"48--126-100",3290.93157726727,139,"Ophiodon elongatus",4.64
"Canadian Pacific","84210-003",2018,48.47115,-125.04755,"48--126-100",3290.93157726727,139,"Pandalus platyceros",0.76
"Canadian Pacific","84210-003",2018,48.47115,-125.04755,"48--126-100",3290.93157726727,139,"Parophrys vetulus",3.04
"Canadian Pacific","84210-003",2018,48.47115,-125.04755,"48--126-100",3290.93157726727,139,"Raja rhina",4.08
"Canadian Pacific","84210-003",2018,48.47115,-125.04755,"48--126-100",3290.93157726727,139,"Ronquilus jordani",NA
"Canadian Pacific","84210-003",2018,48.47115,-125.04755,"48--126-100",3290.93157726727,139,"Sebastes alutus",0.36
"Canadian Pacific","84210-003",2018,48.47115,-125.04755,"48--126-100",3290.93157726727,139,"Sebastes crameri",0.2
"Canadian Pacific","84210-003",2018,48.47115,-125.04755,"48--126-100",3290.93157726727,139,"Sebastes elongatus",33.62
"Canadian Pacific","84210-003",2018,48.47115,-125.04755,"48--126-100",3290.93157726727,139,"Sebastes flavidus",3.84
"Canadian Pacific","84210-003",2018,48.47115,-125.04755,"48--126-100",3290.93157726727,139,"Squalus suckleyi",14.22
"Canadian Pacific","84210-004",2018,48.4926,-125.091116,"48--126-100",3290.93157726727,145,"Allocentrotus fragilis",0.64
"Canadian Pacific","84210-004",2018,48.4926,-125.091116,"48--126-100",3290.93157726727,145,"Anoplopoma fimbria",322.25
"Canadian Pacific","84210-004",2018,48.4926,-125.091116,"48--126-100",3290.93157726727,145,"Atheresthes stomias",129
"Canadian Pacific","84210-004",2018,48.4926,-125.091116,"48--126-100",3290.93157726727,145,"Bathyagonus pentacanthus",NA
"Canadian Pacific","84210-004",2018,48.4926,-125.091116,"48--126-100",3290.93157726727,145,"Brisaster latifrons",NA
"Canadian Pacific","84210-004",2018,48.4926,-125.091116,"48--126-100",3290.93157726727,145,"Eopsetta jordani",11.16
"Canadian Pacific","84210-004",2018,48.4926,-125.091116,"48--126-100",3290.93157726727,145,"Gadus chalcogrammus",27.16
"Canadian Pacific","84210-004",2018,48.4926,-125.091116,"48--126-100",3290.93157726727,145,"Gadus macrocephalus",14.13
"Canadian Pacific","84210-004",2018,48.4926,-125.091116,"48--126-100",3290.93157726727,145,"Glyptocephalus zachirus",40.45
"Canadian Pacific","84210-004",2018,48.4926,-125.091116,"48--126-100",3290.93157726727,145,"Hydrolagus colliei",53.87
"Canadian Pacific","84210-004",2018,48.4926,-125.091116,"48--126-100",3290.93157726727,145,"Luidia foliolata",0.77
"Canadian Pacific","84210-004",2018,48.4926,-125.091116,"48--126-100",3290.93157726727,145,"Lyopsetta exilis",0.98
"Canadian Pacific","84210-004",2018,48.4926,-125.091116,"48--126-100",3290.93157726727,145,"Mediaster aequalis",NA
"Canadian Pacific","84210-004",2018,48.4926,-125.091116,"48--126-100",3290.93157726727,145,"Merluccius productus",11.04
"Canadian Pacific","84210-004",2018,48.4926,-125.091116,"48--126-100",3290.93157726727,145,"Microstomus pacificus",116.44
"Canadian Pacific","84210-004",2018,48.4926,-125.091116,"48--126-100",3290.93157726727,145,"Pandalus jordani",NA
"Canadian Pacific","84210-004",2018,48.4926,-125.091116,"48--126-100",3290.93157726727,145,"Parophrys vetulus",1.58
"Canadian Pacific","84210-004",2018,48.4926,-125.091116,"48--126-100",3290.93157726727,145,"Poroclinus rothrocki",NA
"Canadian Pacific","84210-004",2018,48.4926,-125.091116,"48--126-100",3290.93157726727,145,"Pyrosoma",NA
"Canadian Pacific","84210-004",2018,48.4926,-125.091116,"48--126-100",3290.93157726727,145,"Raja rhina",0.72
"Canadian Pacific","84210-004",2018,48.4926,-125.091116,"48--126-100",3290.93157726727,145,"Scyphozoa",NA
"Canadian Pacific","84210-004",2018,48.4926,-125.091116,"48--126-100",3290.93157726727,145,"Sebastes",NA
"Canadian Pacific","84210-004",2018,48.4926,-125.091116,"48--126-100",3290.93157726727,145,"Sebastes alutus",0.63
"Canadian Pacific","84210-004",2018,48.4926,-125.091116,"48--126-100",3290.93157726727,145,"Sebastes crameri",1.45
"Canadian Pacific","84210-004",2018,48.4926,-125.091116,"48--126-100",3290.93157726727,145,"Sebastes elongatus",5.57
"Canadian Pacific","84210-004",2018,48.4926,-125.091116,"48--126-100",3290.93157726727,145,"Sebastes flavidus",13.84
"Canadian Pacific","84210-004",2018,48.4926,-125.091116,"48--126-100",3290.93157726727,145,"Sebastes saxicola",0.34
"Canadian Pacific","84210-004",2018,48.4926,-125.091116,"48--126-100",3290.93157726727,145,"Squalus suckleyi",9.56
"Canadian Pacific","84210-004",2018,48.4926,-125.091116,"48--126-100",3290.93157726727,145,"Stylasterias forreri",0.24
"Canadian Pacific","84210-004",2018,48.4926,-125.091116,"48--126-100",3290.93157726727,145,"Thaleichthys pacificus",0.68
"Canadian Pacific","84210-005",2018,48.481183,-125.308966,"48--126-100",3290.93157726727,153,"Actiniaria",NA
"Canadian Pacific","84210-005",2018,48.481183,-125.308966,"48--126-100",3290.93157726727,153,"Allocentrotus fragilis",0.68
"Canadian Pacific","84210-005",2018,48.481183,-125.308966,"48--126-100",3290.93157726727,153,"Anoplopoma fimbria",7.86
"Canadian Pacific","84210-005",2018,48.481183,-125.308966,"48--126-100",3290.93157726727,153,"Atheresthes stomias",86.83
"Canadian Pacific","84210-005",2018,48.481183,-125.308966,"48--126-100",3290.93157726727,153,"Balticina septentrionalis",NA
"Canadian Pacific","84210-005",2018,48.481183,-125.308966,"48--126-100",3290.93157726727,153,"Bathyagonus pentacanthus",NA
"Canadian Pacific","84210-005",2018,48.481183,-125.308966,"48--126-100",3290.93157726727,153,"Beringraja binoculata",14.26
"Canadian Pacific","84210-005",2018,48.481183,-125.308966,"48--126-100",3290.93157726727,153,"Berryteuthis magister",NA
"Canadian Pacific","84210-005",2018,48.481183,-125.308966,"48--126-100",3290.93157726727,153,"Brisaster latifrons",0.32
"Canadian Pacific","84210-005",2018,48.481183,-125.308966,"48--126-100",3290.93157726727,153,"Eopsetta jordani",1.04
"Canadian Pacific","84210-005",2018,48.481183,-125.308966,"48--126-100",3290.93157726727,153,"Gadus chalcogrammus",2.76
"Canadian Pacific","84210-005",2018,48.481183,-125.308966,"48--126-100",3290.93157726727,153,"Glyptocephalus zachirus",123.8
"Canadian Pacific","84210-005",2018,48.481183,-125.308966,"48--126-100",3290.93157726727,153,"Hippoglossoides elassodon",53.5
"Canadian Pacific","84210-005",2018,48.481183,-125.308966,"48--126-100",3290.93157726727,153,"Hippoglossus stenolepis",25.44
"Canadian Pacific","84210-005",2018,48.481183,-125.308966,"48--126-100",3290.93157726727,153,"Hydrolagus colliei",21.8
"Canadian Pacific","84210-005",2018,48.481183,-125.308966,"48--126-100",3290.93157726727,153,"Luidia foliolata",0.32
"Canadian Pacific","84210-005",2018,48.481183,-125.308966,"48--126-100",3290.93157726727,153,"Lycodes pacificus",7.1
"Canadian Pacific","84210-005",2018,48.481183,-125.308966,"48--126-100",3290.93157726727,153,"Lyopsetta exilis",35.42
"Canadian Pacific","84210-005",2018,48.481183,-125.308966,"48--126-100",3290.93157726727,153,"Merluccius productus",147.27
"Canadian Pacific","84210-005",2018,48.481183,-125.308966,"48--126-100",3290.93157726727,153,"Microstomus pacificus",91.82
"Canadian Pacific","84210-005",2018,48.481183,-125.308966,"48--126-100",3290.93157726727,153,"Ophiodon elongatus",27.84
"Canadian Pacific","84210-005",2018,48.481183,-125.308966,"48--126-100",3290.93157726727,153,"Pandalus jordani",0.6
"Canadian Pacific","84210-005",2018,48.481183,-125.308966,"48--126-100",3290.93157726727,153,"Pandalus platyceros",0.24
"Canadian Pacific","84210-005",2018,48.481183,-125.308966,"48--126-100",3290.93157726727,153,"Pyrosoma",NA
"Canadian Pacific","84210-005",2018,48.481183,-125.308966,"48--126-100",3290.93157726727,153,"Raja rhina",35.4
"Canadian Pacific","84210-005",2018,48.481183,-125.308966,"48--126-100",3290.93157726727,153,"Scyphozoa",NA
"Canadian Pacific","84210-005",2018,48.481183,-125.308966,"48--126-100",3290.93157726727,153,"Sebastes alutus",0.46
"Canadian Pacific","84210-005",2018,48.481183,-125.308966,"48--126-100",3290.93157726727,153,"Sebastes crameri",3.66
"Canadian Pacific","84210-005",2018,48.481183,-125.308966,"48--126-100",3290.93157726727,153,"Sebastes diploproa",NA
"Canadian Pacific","84210-005",2018,48.481183,-125.308966,"48--126-100",3290.93157726727,153,"Sebastes elongatus",0.5
"Canadian Pacific","84210-005",2018,48.481183,-125.308966,"48--126-100",3290.93157726727,153,"Sebastes flavidus",8.16
"Canadian Pacific","84210-005",2018,48.481183,-125.308966,"48--126-100",3290.93157726727,153,"Sebastes saxicola",0.3
"Canadian Pacific","84210-005",2018,48.481183,-125.308966,"48--126-100",3290.93157726727,153,"Squalus suckleyi",25.82
"Canadian Pacific","84210-005",2018,48.481183,-125.308966,"48--126-100",3290.93157726727,153,"Stylasterias forreri",NA
"Canadian Pacific","84210-005",2018,48.481183,-125.308966,"48--126-100",3290.93157726727,153,"Thaleichthys pacificus",1.98
"Canadian Pacific","84210-006",2018,48.488616,-125.345716,"48--126-100",3290.93157726727,154,"Alosa sapidissima",2.22
"Canadian Pacific","84210-006",2018,48.488616,-125.345716,"48--126-100",3290.93157726727,154,"Anoplopoma fimbria",2.04
"Canadian Pacific","84210-006",2018,48.488616,-125.345716,"48--126-100",3290.93157726727,154,"Atheresthes stomias",264.19
"Canadian Pacific","84210-006",2018,48.488616,-125.345716,"48--126-100",3290.93157726727,154,"Bathyagonus pentacanthus",NA
"Canadian Pacific","84210-006",2018,48.488616,-125.345716,"48--126-100",3290.93157726727,154,"Beringraja binoculata",36.99
"Canadian Pacific","84210-006",2018,48.488616,-125.345716,"48--126-100",3290.93157726727,154,"Brisaster latifrons",0.31
"Canadian Pacific","84210-006",2018,48.488616,-125.345716,"48--126-100",3290.93157726727,154,"Entosphenus tridentatus",NA
"Canadian Pacific","84210-006",2018,48.488616,-125.345716,"48--126-100",3290.93157726727,154,"Eopsetta jordani",6.24
"Canadian Pacific","84210-006",2018,48.488616,-125.345716,"48--126-100",3290.93157726727,154,"Glyptocephalus zachirus",125.87
"Canadian Pacific","84210-006",2018,48.488616,-125.345716,"48--126-100",3290.93157726727,154,"Hippasteria",NA
"Canadian Pacific","84210-006",2018,48.488616,-125.345716,"48--126-100",3290.93157726727,154,"Hippoglossoides elassodon",112.67
"Canadian Pacific","84210-006",2018,48.488616,-125.345716,"48--126-100",3290.93157726727,154,"Hippoglossus stenolepis",16.76
"Canadian Pacific","84210-006",2018,48.488616,-125.345716,"48--126-100",3290.93157726727,154,"Hydrolagus colliei",34.86
"Canadian Pacific","84210-006",2018,48.488616,-125.345716,"48--126-100",3290.93157726727,154,"Lycodes pacificus",3.18
"Canadian Pacific","84210-006",2018,48.488616,-125.345716,"48--126-100",3290.93157726727,154,"Lyopsetta exilis",25.44
"Canadian Pacific","84210-006",2018,48.488616,-125.345716,"48--126-100",3290.93157726727,154,"Merluccius productus",438.61
"Canadian Pacific","84210-006",2018,48.488616,-125.345716,"48--126-100",3290.93157726727,154,"Microstomus pacificus",92.63
"Canadian Pacific","84210-006",2018,48.488616,-125.345716,"48--126-100",3290.93157726727,154,"Ophiodon elongatus",11.16
"Canadian Pacific","84210-006",2018,48.488616,-125.345716,"48--126-100",3290.93157726727,154,"Pandalus jordani",0.78
"Canadian Pacific","84210-006",2018,48.488616,-125.345716,"48--126-100",3290.93157726727,154,"Pandalus platyceros",NA
"Canadian Pacific","84210-006",2018,48.488616,-125.345716,"48--126-100",3290.93157726727,154,"Pyrosoma",NA
"Canadian Pacific","84210-006",2018,48.488616,-125.345716,"48--126-100",3290.93157726727,154,"Raja rhina",39.24
"Canadian Pacific","84210-006",2018,48.488616,-125.345716,"48--126-100",3290.93157726727,154,"Scyphozoa",NA
"Canadian Pacific","84210-006",2018,48.488616,-125.345716,"48--126-100",3290.93157726727,154,"Sebastes aleutianus/melanostictus complex",0.4
"Canadian Pacific","84210-006",2018,48.488616,-125.345716,"48--126-100",3290.93157726727,154,"Sebastes crameri",2.58
"Canadian Pacific","84210-006",2018,48.488616,-125.345716,"48--126-100",3290.93157726727,154,"Sebastes diploproa",0.18
"Canadian Pacific","84210-006",2018,48.488616,-125.345716,"48--126-100",3290.93157726727,154,"Sebastes elongatus",0.9
"Canadian Pacific","84210-006",2018,48.488616,-125.345716,"48--126-100",3290.93157726727,154,"Sebastes saxicola",0.28
"Canadian Pacific","84210-006",2018,48.488616,-125.345716,"48--126-100",3290.93157726727,154,"Squalus suckleyi",6.28
"Canadian Pacific","84210-006",2018,48.488616,-125.345716,"48--126-100",3290.93157726727,154,"Thaleichthys pacificus",1.44
"Canadian Pacific","84210-007",2018,48.426833,-125.33815,"48--126-100",3290.93157726727,168,"Allocentrotus fragilis",0.5
"Canadian Pacific","84210-007",2018,48.426833,-125.33815,"48--126-100",3290.93157726727,168,"Alosa sapidissima",2.38
"Canadian Pacific","84210-007",2018,48.426833,-125.33815,"48--126-100",3290.93157726727,168,"Anoplopoma fimbria",18.46
"Canadian Pacific","84210-007",2018,48.426833,-125.33815,"48--126-100",3290.93157726727,168,"Atheresthes stomias",58.02
"Canadian Pacific","84210-007",2018,48.426833,-125.33815,"48--126-100",3290.93157726727,168,"Bathyraja interrupta",0.98
"Canadian Pacific","84210-007",2018,48.426833,-125.33815,"48--126-100",3290.93157726727,168,"Fusitriton oregonensis",NA
"Canadian Pacific","84210-007",2018,48.426833,-125.33815,"48--126-100",3290.93157726727,168,"Gadus chalcogrammus",20.9
"Canadian Pacific","84210-007",2018,48.426833,-125.33815,"48--126-100",3290.93157726727,168,"Glyptocephalus zachirus",296.33
