LATITUDE,LONGITUDE,STATION,STRATUM,YEAR,DATETIME,WTCPUE,NUMCPUE,COMMON,SCIENTIFIC,SID,BOT_DEPTH,BOT_TEMP,SURF_TEMP,VESSEL,CRUISE,HAUL       
52.17782,173.69806,50-28,212,2014,07/26/2014 09:16,.0241,.402,sawback poacher,Leptagonus frenatus,20006,166,4,10.6,143,201401,180 
52.17782,173.69806,50-28,212,2014,07/26/2014 09:16,.0273,-9999,soft finger sponge,Neoesperiopsis rigida,91088,166,4,10.6,143,201401,180     
52.17782,173.69806,50-28,212,2014,07/26/2014 09:16,.008,-9999,empty gastropod shells,,99994,166,4,10.6,143,201401,180   
52.17782,173.69806,50-28,212,2014,07/26/2014 09:16,12.2332,20.5026,northern rock sole,Lepidopsetta polyxystra,10261,166,4,10.6,143,201401,180         
52.17782,173.69806,50-28,212,2014,07/26/2014 09:16,19.0956,27.3368,rex sole,Glyptocephalus zachirus,10200,166,4,10.6,143,201401,180         
52.17782,173.69806,50-28,212,2014,07/26/2014 09:16,1.9538,1.608,Pacific cod,Gadus macrocephalus,21720,166,4,10.6,143,201401,180   
52.17782,173.69806,50-28,212,2014,07/26/2014 09:16,2.6533,4.8241,shortspine thornyhead,Sebastolobus alascanus,30020,166,4,10.6,143,201401,180         
52.17782,173.69806,50-28,212,2014,07/26/2014 09:16,.0201,-9999,sponge unident.,Porifera,91000,166,4,10.6,143,201401,180 
52.17782,173.69806,50-28,212,2014,07/26/2014 09:16,.1761,-9999,salp unident.,Thaliacea,98070,166,4,10.6,143,201401,180  
52.17782,173.69806,50-28,212,2014,07/26/2014 09:16,.0056,-9999,Alaskan pink (=northern) shrimp,Pandalus eous (=borealis),66031,166,4,10.6,143,201401,180        
52.17782,173.69806,50-28,212,2014,07/26/2014 09:16,.3739,2.0101,searcher,Bathymaster signatus,20720,166,4,10.6,143,201401,180     
52.17782,173.69806,50-28,212,2014,07/26/2014 09:16,20.2936,24.5227,walleye pollock,Theragra chalcogramma,21740,166,4,10.6,143,201401,180    
52.17782,173.69806,50-28,212,2014,07/26/2014 09:16,.0113,-9999,,Stylaster sp.,44030,166,4,10.6,143,201401,180 
52.17782,173.69806,50-28,212,2014,07/26/2014 09:16,50.6608,158.7948,Pacific ocean perch,Sebastes alutus,30060,166,4,10.6,143,201401,180     
52.17782,173.69806,50-28,212,2014,07/26/2014 09:16,.0024,-9999,fragile sea star,Cheiraster dawsoni,81910,166,4,10.6,143,201401,180
52.17782,173.69806,50-28,212,2014,07/26/2014 09:16,1.0854,-9999,golden king crab,Lithodes aequispinus,69310,166,4,10.6,143,201401,180       
52.17782,173.69806,50-28,212,2014,07/26/2014 09:16,1.8878,5.6282,arrowtooth flounder,Atheresthes stomias,10110,166,4,10.6,143,201401,180    
52.17782,173.69806,50-28,212,2014,07/26/2014 09:16,115.7079,281.0065,northern rockfish,Sebastes polyspinis,30420,166,4,10.6,143,201401,180  
52.17902,-172.4566,234-28,622,2014,06/21/2014 07:54,.0035,-9999,,Ophiopholis sp.,83360,188,4.5,5.4,176,201401,45        
52.17902,-172.4566,234-28,622,2014,06/21/2014 07:54,.0481,-9999,salp unident.,Thaliacea,98070,188,4.5,5.4,176,201401,45 
52.17902,-172.4566,234-28,622,2014,06/21/2014 07:54,1.6432,.437,Kamchatka flounder,Atheresthes evermanni,10112,188,4.5,5.4,176,201401,45    
52.17902,-172.4566,234-28,622,2014,06/21/2014 07:54,.007,-9999,Pacific red hermit,Elassochirus gilli,69122,188,4.5,5.4,176,201401,45        
52.17902,-172.4566,234-28,622,2014,06/21/2014 07:54,.5751,-9999,golden king crab,Lithodes aequispinus,69310,188,4.5,5.4,176,201401,45       
52.17902,-172.4566,234-28,622,2014,06/21/2014 07:54,.0044,-9999,fragile sea star,Cheiraster dawsoni,81910,188,4.5,5.4,176,201401,45         
52.17902,-172.4566,234-28,622,2014,06/21/2014 07:54,4.8903,5.2443,Atka mackerel,Pleurogrammus monopterygius,21921,188,4.5,5.4,176,201401,45 
52.17902,-172.4566,234-28,622,2014,06/21/2014 07:54,.0105,-9999,,Henricia sp.,80540,188,4.5,5.4,176,201401,45 
52.17902,-172.4566,234-28,622,2014,06/21/2014 07:54,4.7155,-9999,sponge unident.,Porifera,91000,188,4.5,5.4,176,201401,45         
52.17902,-172.4566,234-28,622,2014,06/21/2014 07:54,.007,-9999,,Arthrogorgia sp.,44098,188,4.5,5.4,176,201401,45        
52.17902,-172.4566,234-28,622,2014,06/21/2014 07:54,.0044,-9999,lacy bryozoan,Phidolopora pacifica,95015,188,4.5,5.4,176,201401,45
52.17902,-172.4566,234-28,622,2014,06/21/2014 07:54,.0122,.437,Pacific ocean perch,Sebastes alutus,30060,188,4.5,5.4,176,201401,45
52.17902,-172.4566,234-28,622,2014,06/21/2014 07:54,.0131,-9999,,Thouarella sp.,44087,188,4.5,5.4,176,201401,45         
52.17902,-172.4566,234-28,622,2014,06/21/2014 07:54,.0009,-9999,,Pandalus sp.,66020,188,4.5,5.4,176,201401,45 
52.17902,-172.4566,234-28,622,2014,06/21/2014 07:54,.0017,-9999,,Onchidiopsis sp.,71590,188,4.5,5.4,176,201401,45       
52.17902,-172.4566,234-28,622,2014,06/21/2014 07:54,.0533,2.1851,darkfin sculpin,Malacocottus zonurus,21341,188,4.5,5.4,176,201401,45       
52.17902,-172.4566,234-28,622,2014,06/21/2014 07:54,.1582,33.6511,spiny lumpsuckers,Eumicrotremus sp.,22183,188,4.5,5.4,176,201401,45       
52.17902,-172.4566,234-28,622,2014,06/21/2014 07:54,.0087,-9999,hydroid unident.,,40011,188,4.5,5.4,176,201401,45       
52.17902,-172.4566,234-28,622,2014,06/21/2014 07:54,.007,-9999,sea anemone unident.,Actiniaria,43000,188,4.5,5.4,176,201401,45    
52.17902,-172.4566,234-28,622,2014,06/21/2014 07:54,.0131,-9999,Pacific lyre crab,Hyas lyratus,68578,188,4.5,5.4,176,201401,45    
52.17902,-172.4566,234-28,622,2014,06/21/2014 07:54,.0621,-9999,wrinkled star,Pteraster militaris,81320,188,4.5,5.4,176,201401,45 
52.17902,-172.4566,234-28,622,2014,06/21/2014 07:54,2.5304,-9999,tree sponge,Mycale loveni,91040,188,4.5,5.4,176,201401,45        
52.17902,-172.4566,234-28,622,2014,06/21/2014 07:54,.1766,-9999,black papillate sponge,Halichondria sitiens,91079,188,4.5,5.4,176,201401,45 
52.17902,-172.4566,234-28,622,2014,06/21/2014 07:54,.0533,.437,searcher,Bathymaster signatus,20720,188,4.5,5.4,176,201401,45      
52.17902,-172.4566,234-28,622,2014,06/21/2014 07:54,.007,-9999,red bat star,Ceramaster japonicus,80729,188,4.5,5.4,176,201401,45  
52.17902,-172.4566,234-28,622,2014,06/21/2014 07:54,1.4142,.437,Pacific halibut,Hippoglossus stenolepis,10120,188,4.5,5.4,176,201401,45     
52.17902,-172.4566,234-28,622,2014,06/21/2014 07:54,.0079,-9999,,Chlamys sp.,74104,188,4.5,5.4,176,201401,45  
52.17902,-172.4566,234-28,622,2014,06/21/2014 07:54,2.3547,-9999,,Polymastia sp.,91074,188,4.5,5.4,176,201401,45        
52.17902,-172.4566,234-28,622,2014,06/21/2014 07:54,.0551,-9999,tunicate unident.,Ascidiacea,98000,188,4.5,5.4,176,201401,45      
52.17902,-172.4566,234-28,622,2014,06/21/2014 07:54,5.0914,5.2443,Pacific cod,Gadus macrocephalus,21720,188,4.5,5.4,176,201401,45 
52.17902,-172.4566,234-28,622,2014,06/21/2014 07:54,.0009,-9999,,Rhynocrangon sharpi,66604,188,4.5,5.4,176,201401,45    
52.17902,-172.4566,234-28,622,2014,06/21/2014 07:54,.0192,-9999,Oregon triton,Fusitriton oregonensis,72500,188,4.5,5.4,176,201401,45        
52.17902,-172.4566,234-28,622,2014,06/21/2014 07:54,.0219,-9999,grooved sea star,Crossaster borealis,81092,188,4.5,5.4,176,201401,45        
52.17902,-172.4566,234-28,622,2014,06/21/2014 07:54,.007,-9999,,Distaplia sp.,98210,188,4.5,5.4,176,201401,45 
52.17902,-172.4566,234-28,622,2014,06/21/2014 07:54,3.0636,4.8073,yellow Irish lord,Hemilepidotus jordani,21347,188,4.5,5.4,176,201401,45   
52.17902,-172.4566,234-28,622,2014,06/21/2014 07:54,.2849,3.9333,spectacled sculpin,Triglops scepticus,21354,188,4.5,5.4,176,201401,45      
52.17902,-172.4566,234-28,622,2014,06/21/2014 07:54,.0787,-9999,,Amaroucium soldatovi,98303,188,4.5,5.4,176,201401,45   
52.17902,-172.4566,234-28,622,2014,06/21/2014 07:54,.3409,2.1851,walleye pollock,Theragra chalcogramma,21740,188,4.5,5.4,176,201401,45      
52.17902,-172.4566,234-28,622,2014,06/21/2014 07:54,.0122,-9999,champagne flute hydroid,Bonneviella sp. A (Clark 2006),40012,188,4.5,5.4,176,201401,45
52.17902,-172.4566,234-28,622,2014,06/21/2014 07:54,.8697,.437,arrowtooth flounder,Atheresthes stomias,10110,188,4.5,5.4,176,201401,45      
52.17902,-172.4566,234-28,622,2014,06/21/2014 07:54,.1267,11.3627,smooth lumpsucker,Aptocyclus ventricosus,22175,188,4.5,5.4,176,201401,45  
52.17902,-172.4566,234-28,622,2014,06/21/2014 07:54,1.7595,27.0957,scissortail sculpin,Triglops forficata,21352,188,4.5,5.4,176,201401,45   
