Date,Station,Longitude,Latitude,Profondeur.Depth,ALPSE,AMRAD,ANLUP,ANMED,ANMIN,ARATL,ARUNC,ASMON,BASPI,CAREI,CEFAB,CRMAC,ENCIM,EUPRA,EUPSI,GAMOR,GAOGA,GLCYN,GYTRI,GYVIR,HEAME,HIHIP,HIPLA,ICBIC,ICSPA,LEDEC,LEMAC,LEOCE,LIFER,LIGIB,LOAME,LULAM,LYESM,LYLAV,LYPAX,LYTER,LYVAH,LYVER,MASEN,MRAEG,MYGLU,MYOCT,MYSCO,NEBAI,PACAL,PACOP,PHCHE,PSAME,REHIP,SCAQU,SESPP,SQACA,STPUN,TAADS,TRMUR,ULOLR,URTEN,ZOAME
2008-07-26,7,-59.43458333,47.62458333,315.5,0,6.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0,0,0,0,0,0,0,0,0,4.7,0,0,25.3,0,0,122.8,0,0.9,0,158.4,0,0,0,0,0,15.9,0
2008-07-26,10,-60.2795,47.28491667,217.5,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,70,0,2,0,0,0,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,0,0,2,0,0,0,0,0,0,1388,0,0,0,0,0,27,0
2008-07-26,11,-60.3205,47.7955,470.5,0,1.7,0,0,0,0,0,0,0,0,23.9,0,0,0,0,0,0,8.5,0,0,0,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6,0,6,0,0,37.5,0,0.9,14.5,0,31.5,0,37.5,0,0,0,0,0,0.9,0
2008-07-26,12,-60.55916667,47.78783333,306,0,8,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,46,0,0,43,0,2,0,280,0,0,0,0,0,14,0
2008-07-27,13,-60.647,47.78858333,212,0,12,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,3,0,0,0,0,7,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,18,0,0,3,0,0,0,2141,0,0,0,0,0,51,0
2008-07-27,14,-60.77658333,48.04525,404.5,0,1,0,0,0,0,0,0,0,0,112,0,1,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,26,0,0,32,0,0,6,0,4,0,97,0,0,0,0,0,2,0
2008-07-27,15,-60.7725,48.17325,428.5,0,4.3,0,0,0,0,0,0,0,0,21.3,1.7,0.9,0,0,0,0,16.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6,0,17.9,0,0,70.7,0,0,1.7,0,11.9,0,86.1,0,0,0,0,0,0,0
2008-07-27,16,-60.23741667,48.12216667,454.5,0,5.6,0,0,0,0,0,0,0,0,6.6,0,0,0,0,0,0,19.7,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0,0,0,0,0,0,0,2.8,0,10.3,0,0,47.8,0.9,0,17.8,0,24.4,0,40.3,0,0,0,0,0,2.8,0
2008-07-27,17,-60.07083333,48.11108333,472,0,20,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,66,0,0,68,0,0,26,0,43,0,59,0,0,0,0,0,2,0
2008-07-27,18,-59.86941667,48.07683333,408.5,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,29,0,0,24,0,0,125,0,1,0,81,0,0,0,0,0,2,0
2008-07-27,19,-59.75766667,47.8805,457.5,0,7.7,0,0,0,0,0,0,0.9,0,42.6,0.9,0,0,0,0,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7,0,29.8,0,0,45.2,0,0,57.1,0,6.8,0,62.2,0,0,0,0,0,0.9,0
2008-07-27,20,-59.7205,47.87716667,431,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,33,0,0,38,1,0,129,0,5,0,137,0,0,0,0,0,1,0
2008-07-28,22,-59.904,48.18508333,351,0,6,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,32,0,0,27,0,0,261,0,5,0,123,0,0,0,0,0,2,0
2008-07-28,23,-59.65133333,48.16283333,218,0,2.1,6.4,0,0,0,4.3,0,0,0,0,0,1.1,0,0,1.1,0,26.8,0,0,0,0,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2,0,2.1,0,22.5,0,0,4.3,0,0,0,0,0,0,174.6,0,0,0,1.1,0,6.4,0
2008-07-28,24,-59.35283333,48.21716667,123,0,4.3,0,0,0,0,1.7,0.9,0,0,0,0,0,0,0.9,0.9,0,4.3,0,0,0,0,358,0,0,0,0,0,0,0,0,1.7,0,0.9,0,0,1.7,0,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
2008-07-28,25,-59.43325,48.15833333,155.5,0,13,0,0,0,1,0,0,0,0,0,0,0,0,0,134,0,19,0,0,0,0,797,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,1,13,0,0,0,0,0,0,0,0,0,321,0,0,0,1,0,0,0
2008-07-28,26,-59.64041667,48.31625,158.5,0,0,4,0,0,0,0,5,0,0,0,0,0,0,0,61,0,1,0,0,0,1,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,6,0,0,0,0,0,0,0,0,0,93,0,0,0,1,0,0,0
2008-07-28,27,-59.94783333,48.29133333,375.5,0,8,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,41,0,0,6,0,0,18,0,9,0,78,0,0,0,0,0,0,0
2008-07-28,28,-59.83833333,48.34908333,316,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,23,0,0,2,0,0,33,0,5,0,298,0,0,0,0,0,5,0
2008-07-28,29,-59.34208333,48.5595,88,0,38,2,0,0,0,0,0,0,0,0,0,0,0,2,32,0,29,0,0,0,0,279,0,0,0,0,0,0,0,0,19,0,3,0,0,0,0,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,11,0,0,0
