Date,Station,Longitude,Latitude,Profondeur.Depth,AMSPP,ARRIS,ARSIL,BOSAI,CLHAR,CYLUM,GAACU,MAVIL,MEATL,MEBIL,OSMOR,POVIR,SCSCO
2009-09-08,2,-63.3125,46.06516667,18,0,0,0,0,75,0,5,0,0,0,1971,0,1
2009-09-09,3,-63.45466667,45.94316667,19,0,0,0,0,136.9,0,2899.9,0,0,0,2154.6,0,0
2009-09-09,4,-63.284,45.9845,22,0,0,0,0,347.9,0,48.4,0,0,0,876,0,0
2009-09-09,5,-63.2045,45.93916667,28,0,0,0,0,90.6,0,99.9,0,0,0,196.6,0,1
2009-09-09,6,-63.00666667,45.94533333,25,0,0,0,0,1705.7,0,6.2,0,0,0,234.7,0,6.2
2009-09-09,7,-62.637,45.857,21,0,0,0,0,107,0,0,0,0,0,205,0,2
2009-09-09,8,-62.4905,45.75716667,23,0,0,0,0,9.3,0,0,0,0,0,4.1,0,10.3
2009-09-09,9,-62.03833333,45.901,40,0,0,0,0,0.9,0,0,0,0,0,0,0,0
2009-09-10,10,-61.80666667,45.92083333,40,0,0,0,0,39,0,1,0,0,0,0,0,0
2009-09-10,11,-61.833,45.8475,32,0,0,0,0,591,0,0,0,0,0,7,0,0
2009-09-10,12,-61.77433333,45.78266667,25,0,0,0,0,21.6,0,1,0,0,0,2.1,0,3.1
2009-09-10,13,-61.685,45.72916667,25,0,0,0,0,837,0,0,0,0,0,2,0,25
2009-09-10,14,-61.62466667,45.85783333,26,0,0,0,0,156,0,0,0,0,0,0,0,2
2009-09-10,15,-62.00516667,46.135,41,0,0,0,0,6307.2,0,0,0,0,0,0,0,0
2009-09-10,16,-62.285,46.19166667,22,0,0,0,0,169,0,0,0,0,0,234,0,2
2009-09-10,17,-61.48633333,46.3925,63,0,0,0,0,9.3,1,0,0,0,0,3.1,0,0
2009-09-10,18,-61.31083333,46.43716667,57,0,0,0,0,2307,0,0,37,0,0,0,0,0
2009-09-11,19,-62.02133333,46.64316667,55,0,0,0,0,1,0,0,0,0,0,0,0,0
2009-09-11,20,-61.81,46.68133333,75,0,0,0,0,0,0,0,1,0,0,0,0,0
2009-09-11,23,-61.86233333,46.95433333,48,0,0,0,0,1.5,0,0,0,0,0,0,0,0
2009-09-11,24,-61.4135,47.02216667,44,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-09-11,26,-61.2,46.97266667,62,0,0,0,0,2.1,0,0,0,0,0,371.6,0,0
2009-09-12,27,-60.94283333,46.826,122,0,0,0,0,0,0,0,295,0,1,0,0,0
2009-09-12,28,-60.822,46.93583333,134,0,0,0,0,0,0,0,156.5,0,1,0,0,0
2009-09-12,29,-60.93466667,47.2375,65,0,0,0,0,0,0,0,14,0,0,0,0,0
2009-09-12,30,-61.271,47.447,28,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-09-12,31,-60.359,47.36533333,77,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-09-12,32,-60.35016667,47.37633333,82,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-09-12,33,-60.14566667,47.32433333,326,0,25,0,0,0,0,1,2,0,0,0,0,1
2009-09-12,34,-60.42366667,47.50216667,261,0,2,0,0,0,0,0,0,0,0,0,0,0
2009-09-13,35,-61.212,47.76916667,30,0,1.1,0,0,0,0,0,0,0,0,0,0,0
2009-09-13,36,-60.91316667,47.85833333,76,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-09-13,37,-60.8925,47.90633333,96,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-09-13,38,-61.07333333,48.073,308,0,9.3,0,0,0,0,0,2.1,0,0,0,0,0
2009-09-13,39,-61.3915,48.1145,166,0,0,0,0,1,0,0,0,0,0,0,0,0
2009-09-13,40,-61.4785,48.22466667,350,0,54.6,0,0,0,0,0,0,3.1,0,0,0,0
2009-09-13,41,-62.3685,47.92733333,86,0,90.7,0,0,0,0,0,0,0,0,0,0,3.2
