Survey.Year,Trip.identifier,Vessel.name,Trip.start.date,Trip.end.date,GMA,PFMA,Set.number,Set.date,Start.latitude,Start.longitude,End.latitude,End.longitude,Bottom.depth..m.,Tow.duration..min.,Distance.towed..m.,Vessel.speed..m.min.,Trawl.door.spread..m.,Trawl.mouth.opening.height..m.
2005,59140,FROSTI,2005-05-25,2005-06-29,7,102,1,2005-05-27,52.685866,-130.61555,52.702116,-130.611066,137,22,1830,98.3353,72.8,2.7
2005,59140,FROSTI,2005-05-25,2005-06-29,7,102,2,2005-05-28,52.689816,-130.857683,52.703283,-130.842766,91,22,1870,86.6684,70.4,2.6
2005,59140,FROSTI,2005-05-25,2005-06-29,7,102,3,2005-05-28,52.711066,-130.800366,52.72725,-130.797333,95,22,1810,95.0019,67.5,2.7
2005,59140,FROSTI,2005-05-25,2005-06-29,7,102,4,2005-05-28,52.675683,-130.770033,52.689733,-130.764866,106,22,1600,83.335,67.1,3.1
2005,59140,FROSTI,2005-05-25,2005-06-29,7,102,5,2005-05-28,52.691633,-130.67235,52.707516,-130.6735,124,22,1770,90.0018,72.6,2.7
2005,59140,FROSTI,2005-05-25,2005-06-29,7,102,10,2005-05-28,52.775616,-130.6086,52.762333,-130.621966,124,21,1760,111.6689,71.7,3.1
2005,59140,FROSTI,2005-05-25,2005-06-29,7,106,11,2005-05-28,52.758916,-130.53775,52.771933,-130.553883,137,24,1820,105.0021,72.8,3.1
2005,59140,FROSTI,2005-05-25,2005-06-29,7,102,12,2005-05-29,52.834533,-130.852766,52.817016,-130.852616,54,22,1950,95.0019,64.4,3.1
2005,59140,FROSTI,2005-05-25,2005-06-29,7,102,13,2005-05-29,52.78895,-130.804783,52.771983,-130.82095,76,22,2200,111.6689,65.9,3.1
2005,59140,FROSTI,2005-05-25,2005-06-29,7,102,14,2005-05-29,52.767566,-130.807733,52.749666,-130.817916,82,22,2130,108.3355,65.8,3.1
2005,59140,FROSTI,2005-05-25,2005-06-29,7,102,15,2005-05-29,52.751333,-130.8323,52.735983,-130.850233,80,22,2100,101.6687,66.3,2.7
2005,59140,FROSTI,2005-05-25,2005-06-29,7,102,16,2005-05-29,52.742083,-130.8576,52.759166,-130.860733,73,23,1910,93.3352,64.3,3.1
2005,59140,FROSTI,2005-05-25,2005-06-29,7,102,17,2005-05-29,52.973933,-130.9916,52.986566,-130.971333,29,22,2e3,108.3355,55.3,2.7
2005,59140,FROSTI,2005-05-25,2005-06-29,7,102,18,2005-05-29,52.9626,-130.921166,52.975516,-130.90085,31,23,1990,120.0024,54.5,3.1
2005,59140,FROSTI,2005-05-25,2005-06-29,7,102,19,2005-05-29,52.917616,-130.976916,52.92825,-130.960733,29,16,1610,115.0023,58.2,NA
2005,59140,FROSTI,2005-05-25,2005-06-29,7,102,20,2005-05-29,52.832766,-130.91725,52.848933,-130.912866,45,21,1820,93.3352,62,2.4
2005,59140,FROSTI,2005-05-25,2005-06-29,7,102,21,2005-05-30,52.899166,-130.813216,52.91255,-130.804066,45,17,1610,105.0021,56.8,NA
2005,59140,FROSTI,2005-05-25,2005-06-29,7,106,23,2005-05-30,52.930166,-130.604233,52.913783,-130.602616,96,22,1830,98.3353,70.1,3.1
2005,59140,FROSTI,2005-05-25,2005-06-29,7,106,24,2005-05-30,52.967116,-130.6619,52.97375,-130.686266,73,22,1840,90.0018,65.5,NA
2005,59140,FROSTI,2005-05-25,2005-06-29,7,106,25,2005-05-30,52.990383,-130.723533,52.99495,-130.74645,96,22,1620,80.0016,66.5,2.7
2005,59140,FROSTI,2005-05-25,2005-06-29,7,106,26,2005-05-30,53.010316,-130.725316,53.01785,-130.749016,102,22,1800,90.0018,69.7,2.7
2005,59140,FROSTI,2005-05-25,2005-06-29,7,106,27,2005-05-30,53.02295,-130.72995,53.035083,-130.7453,118,24,1700,83.335,63.8,2.7
2005,59140,FROSTI,2005-05-25,2005-06-29,7,106,28,2005-05-30,53.056933,-130.778216,53.0463,-130.762916,117,23,1580,80.0016,69.5,3.1
2005,59140,FROSTI,2005-05-25,2005-06-29,7,106,29,2005-05-30,53.0199,-130.708816,53.034116,-130.727216,144,23,2010,105.0021,75.6,2.2
2005,59140,FROSTI,2005-05-25,2005-06-29,7,102,30,2005-05-30,52.996466,-130.84825,53.010016,-130.864466,64,20,1870,111.6689,64.5,2.7
2005,59140,FROSTI,2005-05-25,2005-06-29,7,106,31,2005-05-30,53.0087,-130.834033,52.991666,-130.8199,73,23,2120,101.6687,64,2.7
2005,59140,FROSTI,2005-05-25,2005-06-29,7,106,32,2005-05-31,53.100733,-130.843516,53.086883,-130.857983,100,23,1820,93.3352,69.2,2.7
2005,59140,FROSTI,2005-05-25,2005-06-29,7,102,33,2005-05-31,53.057783,-130.917383,53.06695,-130.895583,60,22,1790,90.0018,61.3,3.1
2005,59140,FROSTI,2005-05-25,2005-06-29,7,102,34,2005-05-31,53.030933,-131.013933,53.021783,-130.991866,34,21,1830,98.3353,55.1,3.1
2005,59140,FROSTI,2005-05-25,2005-06-29,7,102,35,2005-05-31,53.0775,-131.105433,53.09325,-131.117883,43,23,1980,95.0019,61.8,3.1
2005,59140,FROSTI,2005-05-25,2005-06-29,7,102,37,2005-05-31,53.047816,-131.388533,53.03945,-131.411666,23,23,1810,98.3353,54.8,3.1
2005,59140,FROSTI,2005-05-25,2005-06-29,7,102,38,2005-05-31,53.178733,-131.434133,53.1798,-131.463883,21,19,1990,111.6689,72.7,NA
2005,59140,FROSTI,2005-05-25,2005-06-29,7,102,39,2005-05-31,53.20005,-131.337016,53.185833,-131.343933,32,23,1650,93.3352,54.5,NA
2005,59140,FROSTI,2005-05-25,2005-06-29,8,102,42,2005-06-01,53.338866,-131.63985,53.3549,-131.641333,27,23,1790,101.6687,55.5,3.1
2005,59140,FROSTI,2005-05-25,2005-06-29,8,102,43,2005-06-01,53.363983,-131.649766,53.377333,-131.654683,27,18,1520,90.0018,55.6,2.7
2005,59140,FROSTI,2005-05-25,2005-06-29,8,102,44,2005-06-01,53.458933,-131.413616,53.442083,-131.415666,25,21,1880,98.3353,64.4,3.1
2005,59140,FROSTI,2005-05-25,2005-06-29,8,102,46,2005-06-01,53.563216,-131.350066,53.579183,-131.364483,23,23,2020,105.0021,64.4,NA
2005,59140,FROSTI,2005-05-25,2005-06-29,8,102,47,2005-06-01,53.611166,-131.38105,53.61135,-131.40635,23,19,1670,108.3355,64.4,NA
2005,59140,FROSTI,2005-05-25,2005-06-29,8,105,48,2005-06-02,53.656016,-131.21745,53.673483,-131.223583,31,23,2010,98.3353,54.7,3.1
