MISSION,SETNO,SDATE,TIME,STRAT,SLAT,SLONG,ELAT,ELONG,DUR,DIST,SPEED,DEPTH,SURF_TEMP,BOTT_TEMP,BOTT_SAL,GEARDESC
HAM1978009,43,1978-11-22,1005,445,44.883333,-59.85,NA,NA,30,1.6,3.2,212.14,8.7,3.1,NA,Western IIA trawl
HAM1978009,44,1978-11-22,1325,445,44.8,-59.383333,NA,NA,24,1.4,3.5,250.55,8.5,2,NA,Western IIA trawl
HAM1978009,45,1978-11-22,1535,448,44.566667,-59.283333,NA,NA,30,2.1,4.2,56.69,6.5,3.9,NA,Western IIA trawl
HAM1978009,46,1978-11-22,1735,450,44.383333,-59.166667,NA,NA,30,1.3,2.6,166.42,7.5,4.8,NA,Western IIA trawl
HAM1978009,47,1978-11-22,2015,452,44.2,-59.066667,NA,NA,25,2.4,5.8,235.92,6.5,5.1,NA,Western IIA trawl
HAM1978009,48,1978-11-23,1345,445,45.416667,-58.066667,NA,NA,30,2,4,195.68,7.4,2.2,NA,Western IIA trawl
HAM1978010,1,1978-12-01,825,444,45.833333,-59.133333,NA,NA,29,1.8,3.7,170.08,4.2,3.7,NA,Western IIA trawl
HAM1978010,2,1978-12-01,1145,445,45.783333,-58.966667,NA,NA,30,1.5,3,223.11,3.8,3.7,NA,Western IIA trawl
HAM1978010,3,1978-12-01,1445,445,45.783333,-58.633333,NA,NA,30,1.7,3.4,283.46,4.3,3.6,NA,Western IIA trawl
HAM1978010,4,1978-12-01,1815,446,45.933333,-58.316667,NA,NA,30,1.6,3.2,257.86,4,4.8,NA,Western IIA trawl
HAM1978010,5,1978-12-02,2235,446,45.766667,-58.05,NA,NA,30,1.5,3,331.01,4,6.2,NA,Western IIA trawl
HAM1978010,6,1978-12-02,235,443,45.55,-58.033333,NA,NA,30,1.5,3,84.12,4.6,1.8,NA,Western IIA trawl
HAM1978010,7,1978-12-02,515,444,45.366667,-58.35,NA,NA,30,2.2,4.4,109.73,4.2,2.4,NA,Western IIA trawl
HAM1978010,8,1978-12-02,755,443,45.216667,-58.116667,NA,NA,30,2.4,4.8,73.15,4.4,3.5,NA,Western IIA trawl
HAM1978010,9,1978-12-02,1215,446,45.183333,-57.55,NA,NA,30,1.2,2.4,365.76,2.6,6.5,NA,Western IIA trawl
HAM1978010,10,1978-12-02,1545,444,45.116667,-57.833333,NA,NA,30,1.7,3.4,102.41,3.1,1.6,NA,Western IIA trawl
HAM1978010,11,1978-12-03,1845,458,44.416667,-60.5,NA,NA,30,1.7,3.4,42.06,3.5,5.7,NA,Western IIA trawl
HAM1978010,12,1978-12-04,2115,458,44.433333,-60.716667,NA,NA,30,1.8,3.6,64.01,6.5,4.6,NA,Western IIA trawl
HAM1978010,13,1978-12-04,2255,458,44.516667,-60.85,NA,NA,30,1.9,3.8,69.49,6.8,3.6,NA,Western IIA trawl
HAM1978010,15,1978-12-04,835,459,44.633333,-61.15,NA,NA,30,2.2,4.4,100.58,6.2,3.7,NA,Western IIA trawl
HAM1978010,16,1978-12-04,1125,459,44.7,-61.7,NA,NA,30,2.1,4.2,138.99,7.3,5.5,NA,Western IIA trawl
HAM1978010,17,1978-12-04,1345,459,44.516667,-61.733333,NA,NA,30,1.8,3.6,160.93,6.5,7,NA,Western IIA trawl
HAM1978010,18,1978-12-05,415,462,44.4,-61.533333,NA,NA,30,2.1,4.2,173.74,8.2,7.5,NA,Western IIA trawl
HAM1978010,19,1978-12-05,835,462,44.366667,-61.85,NA,NA,30,1.7,3.4,166.42,8.1,7.9,NA,Western IIA trawl
HAM1978010,20,1978-12-05,1125,462,44.15,-61.95,NA,NA,30,1.4,2.8,153.62,7.5,7.5,NA,Western IIA trawl
HAM1978010,21,1978-12-05,1305,462,44.066667,-61.85,NA,NA,30,2,4,128.02,7.8,NA,NA,Western IIA trawl
HAM1978010,22,1978-12-05,1645,464,43.95,-61.65,NA,NA,30,1.9,3.8,58.52,7.8,7.3,NA,Western IIA trawl
HAM1978010,23,1978-12-06,255,464,43.7,-61.516667,NA,NA,30,1.6,3.2,54.86,7.6,NA,NA,Western IIA trawl
HAM1978010,24,1978-12-06,625,455,43.533333,-61.2,NA,NA,30,1.3,2.6,69.49,7.8,6.4,NA,Western IIA trawl
HAM1978010,25,1978-12-06,955,454,43.316667,-60.933333,NA,NA,30,2,4,146.3,6.1,9.3,NA,Western IIA trawl
HAM1978010,26,1978-12-06,1245,454,43.283333,-61.2,NA,NA,30,1.5,3,135.33,6.8,5.3,NA,Western IIA trawl
HAM1978010,27,1978-12-06,1535,465,43.066667,-61.633333,NA,NA,30,1.8,3.6,155.45,6.9,8.2,NA,Western IIA trawl
HAM1978010,28,1978-12-06,1735,466,42.983333,-61.95,NA,NA,30,1.5,3,239.57,7,8.5,NA,Western IIA trawl
HAM1978010,29,1978-12-06,2045,465,43.033333,-62.383333,NA,NA,30,1.5,3,118.87,7.8,5.2,NA,Western IIA trawl
HAM1978010,30,1978-12-07,2235,465,43.133333,-62.633333,NA,NA,30,1.9,3.8,102.41,8.4,6.3,NA,Western IIA trawl
HAM1978010,31,1978-12-07,105,463,43.433333,-62.366667,NA,NA,30,1.9,3.8,80.47,8,7.2,NA,Western IIA trawl
HAM1978010,32,1978-12-07,245,463,43.6,-62.5,NA,NA,30,2.1,4.2,76.81,7.6,NA,NA,Western IIA trawl
HAM1978010,33,1978-12-07,705,461,43.966667,-62.783333,NA,NA,30,1.7,3.4,245.06,7.4,NA,NA,Western IIA trawl
HAM1978010,34,1978-12-07,915,461,44.216667,-62.85,NA,NA,30,2,4,188.37,7.2,8.7,NA,Western IIA trawl
HAM1978010,35,1978-12-07,1115,460,44.316667,-62.766667,NA,NA,26,1.3,3,173.74,7,NA,NA,Western IIA trawl
HAM1978010,36,1978-12-07,1315,460,44.433333,-62.933333,NA,NA,30,2,4,138.99,7.3,NA,NA,Western IIA trawl
HAM1979026,2,1979-10-16,35,462,43.966667,-61.783333,NA,NA,30,2.5,5,144.48,13.5,7.89,33.973,Western IIA trawl
HAM1979026,3,1979-10-16,315,462,44,-61.7,NA,NA,30,2.3,4.6,89.61,13.3,4.92,33.159,Western IIA trawl
HAM1979026,4,1979-10-16,545,456,44.016667,-61.283333,NA,NA,30,1.7,3.4,71.32,13.5,5.33,32.611,Western IIA trawl
HAM1979026,5,1979-10-16,735,455,43.916667,-61.2,NA,NA,30,2.4,4.8,56.69,13.3,13.64,31.588,Western IIA trawl
HAM1979026,7,1979-10-16,1125,455,43.516667,-61.116667,NA,NA,30,2.2,4.4,67.67,13.3,4.53,32.473,Western IIA trawl
HAM1979026,8,1979-10-16,1315,455,43.433333,-61.283333,NA,NA,30,2.1,4.2,71.32,13,4.18,32.673,Western IIA trawl
HAM1979026,9,1979-10-16,1435,455,43.35,-61.266667,NA,NA,30,2.3,4.6,76.81,13.1,4.16,32.592,Western IIA trawl
HAM1979026,11,1979-10-17,2125,454,43.466667,-60.516667,NA,NA,30,1.7,3.4,115.21,13.5,5.06,33.619,Western IIA trawl
HAM1979026,13,1979-10-19,115,453,43.366667,-60.683333,NA,NA,30,1.5,3,210.31,13.3,8.97,35.073,Western IIA trawl
HAM1979026,14,1979-10-19,415,454,43.533333,-60.25,NA,NA,30,1.6,3.2,100.58,12.9,6.42,33.852,Western IIA trawl
HAM1979026,15,1979-10-19,625,453,43.383333,-60.133333,NA,NA,28,2.3,4.9,288.95,6.7,6.7,35,Western IIA trawl
HAM1979026,16,1979-10-19,945,455,43.833333,-60.033333,NA,NA,30,1.8,3.6,36.58,12.7,12.94,31.117,Western IIA trawl
HAM1979026,18,1979-10-19,1525,456,44.116667,-60.8,NA,NA,30,2.5,5,27.43,12.9,9.32,31.549,Western IIA trawl
HAM1979026,19,1979-10-19,1705,456,44.2,-61.016667,NA,NA,30,2.2,4.4,65.84,12.7,5.28,32.726,Western IIA trawl
HAM1979026,20,1979-10-19,1845,456,44.266667,-60.983333,NA,NA,30,2.3,4.6,67.67,13.1,7.22,32.418,Western IIA trawl
HAM1979026,21,1979-10-19,2005,456,44.3,-61.083333,NA,NA,30,2.1,4.2,78.64,13.1,5.02,33,Western IIA trawl
HAM1979026,22,1979-10-20,2205,458,44.533333,-61.033333,NA,NA,30,2.3,4.6,87.78,12.6,5.68,33.343,Western IIA trawl
HAM1979026,23,1979-10-20,135,458,44.45,-60.366667,NA,NA,30,1.9,3.8,47.55,9.2,7.88,32.364,Western IIA trawl
HAM1979026,24,1979-10-20,415,448,44.516667,-59.85,NA,NA,30,2.2,4.4,65.84,12.8,7.89,32.136,Western IIA trawl
HAM1979026,25,1979-10-20,535,448,44.55,-59.766667,NA,NA,30,2,4,73.15,12.7,3.6,32.906,Western IIA trawl
HAM1979026,26,1979-10-20,825,445,44.833333,-59.466667,NA,NA,30,2.1,4.2,241.4,12.5,3.51,33.21,Western IIA trawl
HAM1979026,27,1979-10-20,1155,457,44.35,-59.75,NA,NA,30,2.2,4.4,170.08,12.5,5.18,33.99,Western IIA trawl
HAM1979026,28,1979-10-20,1355,457,44.216667,-59.966667,NA,NA,30,2,4,164.59,13.3,5.12,33.963,Western IIA trawl
HAM1979026,29,1979-10-20,1645,456,44.133333,-59.483333,NA,NA,30,2.4,4.8,73.15,12.9,4.62,32.801,Western IIA trawl
HAM1979026,30,1979-10-20,1825,452,44.183333,-59.25,NA,NA,30,1.4,2.8,223.11,12.7,6.16,34.327,Western IIA trawl
HAM1979026,33,1979-10-21,15,454,43.9,-59.083333,NA,NA,20,1.8,5.4,120.7,12.8,4.61,33.569,Western IIA trawl
HAM1979026,34,1979-10-21,255,451,43.95,-58.7,NA,NA,30,2.3,4.6,199.34,12.3,7.53,34.809,Western IIA trawl
HAM1979026,36,1979-10-21,715,450,44.1,-58.8,NA,NA,30,2.6,5.2,102.41,12.6,1.57,33.029,Western IIA trawl
HAM1979026,37,1979-10-21,945,450,44.333333,-58.95,NA,NA,31,1.2,2.3,111.56,12.5,3.98,32.813,Western IIA trawl
HAM1979026,38,1979-10-21,1155,450,44.383333,-59.2,NA,NA,30,1.9,3.8,149.96,13,3.66,32.737,Western IIA trawl
HAM1979026,39,1979-10-21,1405,452,44.216667,-59.116667,NA,NA,30,1.6,3.2,230.43,13,6.82,34.859,Western IIA trawl
HAM1979026,40,1979-10-21,1645,448,44.55,-58.933333,NA,NA,30,1.8,3.6,56.69,12.4,5.63,32.03,Western IIA trawl
HAM1979026,41,1979-10-21,1855,448,44.65,-58.633333,NA,NA,30,2,4,95.1,12.4,2.45,32.635,Western IIA trawl
HAM1979026,42,1979-10-21,2035,448,44.566667,-58.6,NA,NA,30,3,6,65.84,12.4,5.03,31.924,Western IIA trawl
HAM1979026,43,1979-10-22,2255,447,44.633333,-58.133333,NA,NA,30,2,4,67.67,12.4,3.09,32.392,Western IIA trawl
HAM1979026,44,1979-10-22,125,449,44.366667,-57.966667,NA,NA,30,1.6,3.2,104.24,12,2.98,33.374,Western IIA trawl
HAM1979026,45,1979-10-22,305,447,44.416667,-57.816667,NA,NA,30,1.7,3.4,73.15,12.3,5.99,31.643,Western IIA trawl
