MISSION,SETNO,SDATE,TIME,STRAT,SLAT,SLONG,ELAT,ELONG,DUR,DIST,SPEED,DEPTH,SURF_TEMP,BOTT_TEMP,BOTT_SAL,GEARDESC
HAM1979013,2,1979-03-05,1835,461,43.983333,-62.916667,NA,NA,30,2.1,4.2,256.03,1.4,8.89,35.057,Western IIA trawl
HAM1979013,3,1979-03-06,2305,460,43.866667,-63.316667,NA,NA,30,2.1,4.2,128.02,0,7.38,33.938,Western IIA trawl
HAM1979013,4,1979-03-06,215,470,44,-63.833333,NA,NA,30,2,4,175.56,0,NA,34.7,Western IIA trawl
HAM1979013,5,1979-03-06,525,471,43.783333,-64.05,NA,NA,30,2.2,4.4,223.11,-0.2,8.61,34.791,Western IIA trawl
HAM1979013,6,1979-03-06,835,470,43.75,-64.3,NA,NA,30,2.2,4.4,171.91,-0.1,8.73,34.776,Western IIA trawl
HAM1979013,8,1979-03-07,2225,476,43.333333,-65.133333,NA,NA,30,1.9,3.8,153.62,0.1,4.72,32.998,Western IIA trawl
HAM1979013,9,1979-03-07,125,476,43.166667,-65.133333,NA,NA,30,1.5,3,164.59,0.3,6.1,33.436,Western IIA trawl
HAM1979013,10,1979-03-07,1125,485,44.016667,-66.883333,NA,NA,30,2.3,4.6,140.82,2.7,3.94,32.44,Western IIA trawl
HAM1979013,11,1979-03-07,1525,490,44.016667,-66.433333,NA,NA,24,2,5,85.95,2,2.84,31.721,Western IIA trawl
HAM1979013,13,1979-03-07,2005,492,44.383333,-66.6,NA,NA,29,1.7,3.5,203,3.2,3.1,32.7,Western IIA trawl
HAM1979013,14,1979-03-08,2215,490,44.4,-66.3,NA,NA,28,1.5,3.2,106.07,2.5,2.56,32.146,Western IIA trawl
HAM1979013,15,1979-03-08,25,491,44.633333,-66.216667,NA,NA,30,1.7,3.4,122.53,2.6,2.9,32.346,Western IIA trawl
HAM1979013,16,1979-03-08,315,490,44.8,-65.816667,NA,NA,30,2.4,4.8,87.78,2.9,2.59,32.436,Western IIA trawl
HAM1979013,18,1979-03-08,855,495,45,-65.3,NA,NA,30,1.9,3.8,69.49,2.5,2.24,32.285,Western IIA trawl
HAM1979013,20,1979-03-08,1335,494,45.166667,-65.733333,NA,NA,30,2.5,5,82.3,0.4,0.07,32.14,Western IIA trawl
HAM1979013,21,1979-03-08,1445,493,45.066667,-65.866667,NA,NA,28,1.9,4.1,87.78,2.8,0.4,32.5,Western IIA trawl
HAM1979013,23,1979-03-08,1845,493,45,-66.316667,NA,NA,30,1.7,3.4,82.3,0.9,0.28,32.212,Western IIA trawl
HAM1979013,24,1979-03-08,2045,492,44.8,-66.416667,NA,NA,30,1.9,3.8,162.76,3.2,1.95,32.555,Western IIA trawl
HAM1979013,25,1979-03-09,15,493,44.616667,-67.1,NA,NA,28,2.7,5.8,82.3,1.9,1.76,32.315,Western IIA trawl
HAM1979013,26,1979-03-09,245,492,44.266667,-67.366667,NA,NA,30,2.7,5.4,193.85,2.7,6.15,31.596,Western IIA trawl
HAM1979013,28,1979-03-09,1115,485,43.183333,-67,NA,NA,30,2,4,181.05,3.6,8.07,34.667,Western IIA trawl
HAM1979013,29,1979-03-09,1345,484,43.033333,-67.35,NA,NA,30,2.1,4.2,219.46,3.4,8.16,34.224,Western IIA trawl
HAM1979013,30,1979-03-09,1715,485,43.066667,-66.9,NA,NA,30,1.4,2.8,171.91,3,7.47,34.279,Western IIA trawl
HAM1979013,31,1979-03-09,2025,484,42.816667,-66.833333,NA,NA,29,2.4,5,208.48,4,8.26,34.725,Western IIA trawl
HAM1979013,32,1979-03-10,2305,482,42.633333,-67.233333,NA,NA,28,1.8,3.9,270.66,3.3,8.09,34.592,Western IIA trawl
HAM1979013,34,1979-03-10,415,483,42.35,-66.716667,NA,NA,30,1.9,3.8,135.33,3.2,7.74,34.94,Western IIA trawl
HAM1979013,35,1979-03-10,615,482,42.416667,-66.5,NA,NA,29,1.9,3.9,279.81,4.1,4.47,34.039,Western IIA trawl
HAM1979013,36,1979-03-10,915,481,42.683333,-66.583333,NA,NA,30,1.9,3.8,164.59,4.2,7.83,34.301,Western IIA trawl
HAM1979013,37,1979-03-10,1135,480,42.683333,-66.3,NA,NA,30,1.7,3.4,82.3,1.6,2.77,33.477,Western IIA trawl
HAM1979013,38,1979-03-10,1435,480,42.783333,-65.966667,NA,NA,30,1.8,3.6,78.64,1.6,2.46,31.97,Western IIA trawl
HAM1979013,39,1979-03-10,1625,481,42.833333,-65.716667,NA,NA,31,1.7,3.3,118.87,2,2.73,32.075,Western IIA trawl
HAM1979013,40,1979-03-10,1855,481,42.533333,-65.85,NA,NA,26,1.1,2.5,87.78,1.3,4.02,32.643,Western IIA trawl
HAM1979013,41,1979-03-10,2045,480,42.566667,-65.65,NA,NA,29,3,6.2,91.44,0.6,3.23,32.501,Western IIA trawl
HAM1979013,42,1979-03-11,2255,480,42.45,-65.633333,NA,NA,30,2.8,5.6,91.44,1.1,4.45,32.883,Western IIA trawl
HAM1979013,43,1979-03-11,115,481,42.316667,-65.316667,NA,NA,25,1.7,4.1,140.82,1.4,9.12,35.078,Western IIA trawl
