Survey.Year,Trip.identifier,Vessel.name,Trip.start.date,Trip.end.date,GMA,PFMA,Set.number,Set.date,Start.latitude,Start.longitude,End.latitude,End.longitude,Bottom.depth..m.,Tow.duration..min.,Distance.towed..m.,Vessel.speed..m.min.,Trawl.door.spread..m.,Trawl.mouth.opening.height..m.
2012,72189,W. E. RICKER,2012-03-14,2012-03-24,1,17,2,2012-03-14,49.216416,-123.69785,49.214466,-123.673733,387,22,1780,88.3351,60.7,1.3
2012,72189,W. E. RICKER,2012-03-14,2012-03-24,1,29,3,2012-03-14,49.23255,-123.677016,49.230833,-123.652266,385,21,1770,90.0018,64.4,3.8
2012,72189,W. E. RICKER,2012-03-14,2012-03-24,1,29,4,2012-03-14,49.24955,-123.70535,49.2415,-123.682633,389,20,1890,91.6685,68.9,3.7
2012,72189,W. E. RICKER,2012-03-14,2012-03-24,1,29,5,2012-03-14,49.273633,-123.49685,49.274666,-123.5204,270,21,1730,86.6684,67.6,1.2
2012,72189,W. E. RICKER,2012-03-14,2012-03-24,1,29,6,2012-03-15,49.386483,-123.589083,49.39415,-123.611166,132,21,1820,90.0018,65.9,1.5
2012,72189,W. E. RICKER,2012-03-14,2012-03-24,1,14,7,2012-03-16,49.6242,-124.7993,49.6114,-124.783666,87,23,1820,88.3351,58.5,1.3
2012,72189,W. E. RICKER,2012-03-14,2012-03-24,1,14,8,2012-03-16,49.68245,-124.69385,49.692583,-124.7144,243,19,1870,93.3352,62,1.8
2012,72189,W. E. RICKER,2012-03-14,2012-03-24,1,14,9,2012-03-16,49.707433,-124.68905,49.701633,-124.664783,304,18,1870,93.3352,61.8,5.5
2012,72189,W. E. RICKER,2012-03-14,2012-03-24,1,14,10,2012-03-16,49.727266,-124.815583,49.714916,-124.800783,129,20,1750,86.6684,61.43,1.7
2012,72189,W. E. RICKER,2012-03-14,2012-03-24,1,14,11,2012-03-16,49.7719,-124.800716,49.7847,-124.81625,326,19,1810,90.0018,63,1.4
2012,72189,W. E. RICKER,2012-03-14,2012-03-24,1,13,13,2012-03-17,50.064966,-125.018783,50.049566,-125.02065,88,20,1720,90.0018,51.9,1.5
2012,72189,W. E. RICKER,2012-03-14,2012-03-24,1,13,14,2012-03-17,50.015266,-125.111283,50.02935,-125.122366,247,20,1760,88.3351,55.1,2.1
2012,72189,W. E. RICKER,2012-03-14,2012-03-24,1,14,15,2012-03-17,49.8946,-125.006916,49.88255,-124.989766,313,16,1820,91.6685,58.5,4.5
2012,72189,W. E. RICKER,2012-03-14,2012-03-24,1,15,16,2012-03-17,49.912716,-124.91185,49.900416,-124.895533,239,19,1810,90.0018,59.7,2.3
2012,72189,W. E. RICKER,2012-03-14,2012-03-24,1,16,17,2012-03-18,49.556866,-124.138983,49.5449,-124.121516,368,16,1770,91.6685,61.43,4
2012,72189,W. E. RICKER,2012-03-14,2012-03-24,1,17,18,2012-03-18,49.45035,-123.967116,49.454083,-123.991266,201,19,1800,90.0018,62.7,3.2
2012,72189,W. E. RICKER,2012-03-14,2012-03-24,1,17,19,2012-03-18,49.444833,-124.043683,49.433916,-124.025466,392,15,1800,90.0018,62.2,1.7
2012,72189,W. E. RICKER,2012-03-14,2012-03-24,1,29,20,2012-03-18,49.290016,-123.67185,49.2801,-123.651033,263,18,1880,93.3352,61.9,4.8
2012,72189,W. E. RICKER,2012-03-14,2012-03-24,1,29,21,2012-03-19,49.19965,-123.607833,49.209566,-123.627833,380,18,1830,90.0018,62.7,5.6
2012,72189,W. E. RICKER,2012-03-14,2012-03-24,1,29,22,2012-03-19,49.38935,-123.588183,49.377533,-123.570483,132,20,1770,91.6685,55.8,1.3
2012,72189,W. E. RICKER,2012-03-14,2012-03-24,1,29,23,2012-03-19,49.229416,-123.472533,49.241366,-123.490116,313,18,1830,93.3352,64.9,1.8
2012,72189,W. E. RICKER,2012-03-14,2012-03-24,1,29,24,2012-03-19,49.29905,-123.420133,49.288433,-123.405433,230,17,1600,90.0018,63.7,2.6
2012,72189,W. E. RICKER,2012-03-14,2012-03-24,1,29,25,2012-03-19,49.237783,-123.431233,49.227483,-123.411366,276,19,1770,91.6685,60.6,1.7
2012,72189,W. E. RICKER,2012-03-14,2012-03-24,1,29,26,2012-03-19,49.163683,-123.339116,49.180166,-123.33675,168,19,1820,93.3352,64.4,1.5
2012,72189,W. E. RICKER,2012-03-14,2012-03-24,1,29,27,2012-03-20,49.147266,-123.298683,49.163183,-123.298866,75,19,260,86.6684,56.1,1.3
2012,72189,W. E. RICKER,2012-03-14,2012-03-24,1,29,28,2012-03-20,49.202366,-123.37125,49.186233,-123.37335,234,20,1770,91.6685,64.9,1.5
2012,72189,W. E. RICKER,2012-03-14,2012-03-24,1,29,29,2012-03-20,49.2508,-123.293066,49.23475,-123.2945,64,19,1780,90.0018,56.8,1.2
