NPFMCArea,SubareaDescription,StratumCode,DepthIntervalm,Areakm2
Western Aleutians,W Western Aleutians,211,1-100 ,3693
Western Aleutians,W Western Aleutians,212,101-200 ,4065
Western Aleutians,W Western Aleutians,213,201-300 ,940
Western Aleutians,W Western Aleutians,214,301-500 ,1711
Western Aleutians,E Western Aleutians,221,1-100 ,1183
Western Aleutians,E Western Aleutians,222,101-200 ,1252
Western Aleutians,E Western Aleutians,223,201-300 ,783
Western Aleutians,E Western Aleutians,224,301-500 ,1561
Central Aleutians,Petrel Bank,311,1-100 ,960
Central Aleutians,Petrel Bank,312,101-200 ,1736
Central Aleutians,Petrel Bank,313,201-300 ,766
Central Aleutians,Petrel Bank,314,301-500 ,1237
Central Aleutians,N Central Aleutians,321,1-100 ,2106
Central Aleutians,N Central Aleutians,322,101-200 ,1066
Central Aleutians,N Central Aleutians,323,201-300 ,439
Central Aleutians,N Central Aleutians,324,301-500 ,1240
Central Aleutians,SW Central Aleutians,411,1-100 ,1618
Central Aleutians,SW Central Aleutians,412,101-200 ,1052
Central Aleutians,SW Central Aleutians,413,201-300 ,426
Central Aleutians,SW Central Aleutians,414,301-500 ,789
Central Aleutians,SE Central Aleutians,421,1-100 ,1164
Central Aleutians,SE Central Aleutians,422,101-200 ,752
Central Aleutians,SE Central Aleutians,423,201-300 ,477
Central Aleutians,SE Central Aleutians,424,301-500 ,714
Eastern Aleutians,NW Eastern Aleutians,511,1-100 ,1932
Eastern Aleutians,NW Eastern Aleutians,512,101-200 ,1594
Eastern Aleutians,NW Eastern Aleutians,513,201-300 ,156
Eastern Aleutians,NE Eastern Aleutians,521,1-100 ,1268
Eastern Aleutians,NE Eastern Aleutians,522,101-200 ,2013
Eastern Aleutians,NE Eastern Aleutians,523,201-300 ,1969
Eastern Aleutians,Combined Eastern Aleutian Islands,594,301-500 ,2670
Eastern Aleutians,SW Eastern Aleutians,611,1-100 ,1907
Eastern Aleutians,SW Eastern Aleutians,612,101-200 ,2261
Eastern Aleutians,SW Eastern Aleutians,613,201-300 ,716
Eastern Aleutians,SW Eastern Aleutians,614,301-500 ,438
Eastern Aleutians,SE Eastern Aleutians,621,1-100 ,1741
Eastern Aleutians,SE Eastern Aleutians,622,101-200 ,1900
Eastern Aleutians,SE Eastern Aleutians,623,201-300 ,2061
Eastern Aleutians,SE Eastern Aleutians,624,301-500 ,2575
Southern Bering Sea,W Southern Bering Sea,711,1-100 ,1586
Southern Bering Sea,W Southern Bering Sea,712,101-200 ,670
Southern Bering Sea,E Southern Bering Sea,721,1-100 ,2440
Southern Bering Sea,E Southern Bering Sea,722,101-200 ,1179
Southern Bering Sea,Combined Southern Bering Sea,793,201-300 ,564
Southern Bering Sea,Combined Southern Bering Sea,794,301-500,1043
