
LATITUDE,LONGITUDE,STATION,STRATUM,YEAR,DATETIME,WTCPUE,NUMCPUE,COMMON,SCIENTIFIC,SID,BOT_DEPTH,BOT_TEMP,SURF_TEMP,VESSEL,CRUISE,HAUL                                                                                                                                                                                                                                                                                                                                                                             
58.353,-162.71433,K-09,10,1984,06/14/1984 10:00,.0138,-9999,empty gastropod shells,,99994,31,4.2,3.6,37,198401,19
58.353,-162.71433,K-09,10,1984,06/14/1984 10:00,.6969,-9999,sea onion,Boltenia ovifera,98105,31,4.2,3.6,37,198401,19
58.353,-162.71433,K-09,10,1984,06/14/1984 10:00,.028,-9999,tunicate unid.,Ascidiacea,98000,31,4.2,3.6,37,198401,19
58.353,-162.71433,K-09,10,1984,06/14/1984 10:00,.0556,-9999,blackspined sea star,Lethasterias nanimensis,80200,31,4.2,3.6,37,198401,19
58.353,-162.71433,K-09,10,1984,06/14/1984 10:00,.0138,-9999,,Tellina sp.,75201,31,4.2,3.6,37,198401,19
58.353,-162.71433,K-09,10,1984,06/14/1984 10:00,.0138,-9999,bivalve unid.,Bivalvia,74000,31,4.2,3.6,37,198401,19
58.353,-162.71433,K-09,10,1984,06/14/1984 10:00,.1115,-9999,fat whelk,Neptunea ventricosa,71882,31,4.2,3.6,37,198401,19
58.353,-162.71433,K-09,10,1984,06/14/1984 10:00,.0138,-9999,,Neptunea sp.,71800,31,4.2,3.6,37,198401,19
58.353,-162.71433,K-09,10,1984,06/14/1984 10:00,.0138,-9999,snail  egg,gastropod egg,71001,31,4.2,3.6,37,198401,19
58.353,-162.71433,K-09,10,1984,06/14/1984 10:00,1.3938,.3073,skate unid.,Rajidae,400,31,4.2,3.6,37,198401,19
58.353,-162.71433,K-09,10,1984,06/14/1984 10:00,.2507,-9999,red king crab,Paralithodes camtschaticus,69322,31,4.2,3.6,37,198401,19
58.353,-162.71433,K-09,10,1984,06/14/1984 10:00,.7387,-9999,Alaskan hermit,Pagurus ochotensis,69090,31,4.2,3.6,37,198401,19
58.353,-162.71433,K-09,10,1984,06/14/1984 10:00,.6969,-9999,helmet crab,Telmessus cheiragonus,68781,31,4.2,3.6,37,198401,19
58.353,-162.71433,K-09,10,1984,06/14/1984 10:00,.0138,-9999,graceful decorator crab,Oregonia gracilis,68510,31,4.2,3.6,37,198401,19
58.353,-162.71433,K-09,10,1984,06/14/1984 10:00,.0138,-9999,,Crangon sp.,66502,31,4.2,3.6,37,198401,19
58.353,-162.71433,K-09,10,1984,06/14/1984 10:00,.0138,-9999,,Metridium sp.,43010,31,4.2,3.6,37,198401,19
58.353,-162.71433,K-09,10,1984,06/14/1984 10:00,.1115,3.9946,capelin,Mallotus villosus,23041,31,4.2,3.6,37,198401,19
58.353,-162.71433,K-09,10,1984,06/14/1984 10:00,1.1151,.6146,walleye pollock,Gadus chalcogrammus,21740,31,4.2,3.6,37,198401,19
58.353,-162.71433,K-09,10,1984,06/14/1984 10:00,30.942,11.3692,Pacific cod,Gadus macrocephalus,21720,31,4.2,3.6,37,198401,19
58.353,-162.71433,K-09,10,1984,06/14/1984 10:00,11.4291,20.2802,plain sculpin,Myoxocephalus jaok,21371,31,4.2,3.6,37,198401,19
58.353,-162.71433,K-09,10,1984,06/14/1984 10:00,.1533,4.9164,,Gymnocanthus sp.,21313,31,4.2,3.6,37,198401,19
58.353,-162.71433,K-09,10,1984,06/14/1984 10:00,.0556,.6146,sturgeon poacher,Podothecus accipenserinus,20040,31,4.2,3.6,37,198401,19
58.353,-162.71433,K-09,10,1984,06/14/1984 10:00,5.9931,18.4365,Alaska plaice,Pleuronectes quadrituberculatus,10285,31,4.2,3.6,37,198401,19
58.353,-162.71433,K-09,10,1984,06/14/1984 10:00,95.3343,588.432,rock sole unid.,Lepidopsetta sp.,10260,31,4.2,3.6,37,198401,19
58.353,-162.71433,K-09,10,1984,06/14/1984 10:00,5.7144,30.7275,longhead dab,Limanda proboscidea,10211,31,4.2,3.6,37,198401,19
58.353,-162.71433,K-09,10,1984,06/14/1984 10:00,171.156,869.896,yellowfin sole,Limanda aspera,10210,31,4.2,3.6,37,198401,19
58.353,-162.71433,K-09,10,1984,06/14/1984 10:00,.0556,.9218,flathead sole,Hippoglossoides elassodon,10130,31,4.2,3.6,37,198401,19
58.353,-162.71433,K-09,10,1984,06/14/1984 10:00,5.3242,1.2291,Pacific halibut,Hippoglossus stenolepis,10120,31,4.2,3.6,37,198401,19
58.353,-162.71433,K-09,10,1984,06/14/1984 10:00,30.3843,-9999,purple-orange sea star,Asterias amurensis,81742,31,4.2,3.6,37,198401,19
58.014,-162.7425,J-09,10,1984,06/14/1984 12:00,51.8302,109.682,Pacific cod,Gadus macrocephalus,21720,40,4.8,3.5,37,198401,20
58.014,-162.7425,J-09,10,1984,06/14/1984 12:00,22.6158,99.6348,rock sole unid.,Lepidopsetta sp.,10260,40,4.8,3.5,37,198401,20
58.014,-162.7425,J-09,10,1984,06/14/1984 12:00,.1139,-9999,splendid hermit,Labidochirus splendescens,69061,40,4.8,3.5,37,198401,20
