"Key1","TAXONOMIC","CODE","TAXONSIZECODE","isactive","common_name","tsn","tsn_accepted",
230,"ALEPISAURIDAE","129070000",,"-1","lancetfishes",162523,162523
231,"ALEPISAURUS","129070100",,"-1",,162524,162524
232,"ALEPISAURUS BREVIROSTRIS","129070102",,"-1","shortnose lancetfish",162528,162528
233,"ALEPISAURUS FEROX","129070101",,"-1","longnose lancetfish",162527,162527
234,"ALEPOCEPHALIDAE","121070000",,"-1","slickheads",162303,162303
235,"ALEPOCEPHALUS","121070100",,"-1",,162308,162308
236,"ALEPOCEPHALUS PRODUCTUS","121070101",,"-1","smalleye smoothhead",162309,162309
237,"ALEXANIA","307500900",,"-1",,72355,72355
238,"ALEXANIA FLORIDANA","307500901",,"-1","smooth wentletrap",72356,72356
239,"ALGAE","700000000",,"-1",,,
240,"ALGIDAE","223030000",,"-1",,,
241,"ALIGENA","335100100",,"-1",,80683,80683
242,"ALIGENA ELEVATA","335100102",,"-1","eastern aligena",80685,80685
243,"ALIGENA TEXASIANA","335100101",,"-1","Texas aligena",80684,80684
244,"ALISMATACEAE","943010000",,"-1","arrowhead",38890,38890
245,"ALLANETTA","165020200",,"-1",,166001,630623
246,"ALLANETTA ARAEA","165020201",,"-1",,166002,166038
247,"ALLANETTA HARRINGTONENSIS","165020202",,"-1",,166039,166038
248,"ALLOCREADIIDAE","626160000",,"-1",,56751,56751
249,"ALLODARDANUS","229052200",,"-1",,,
250,"ALLODARDANUS BREDINI","229052201",,"-1",,,
251,"ALLOPOSIDAE","350060000",,"-1",,82664,82664
252,"ALLOPOSUS","350060100",,"-1",,82665,205737
253,"ALLOTEUTHIS","347020500",,"-1",,82383,82370
254,"ALLOTHYONE","694040300",,"-1",,655999,655999
255,"ALLOTHYONE MEXICANA","694040301","20","-1",,656017,656017
256,"ALLUROTEUTHIDAE","348210000",,"-1",,555718,82513
257,"ALLUROTEUTHO","348210100",,"-1",,,
258,"ALOPIAS","107030100",,"-1",,159915,159915
259,"ALOPIAS SUPERCILIOSUS","107030102",,"-1","bigeye thresher",159921,159921
260,"ALOPIAS VULPINUS","107030101",,"-1","thresher shark",159916,159916
261,"ALOPIIDAE","107030000",,"-1","thresher sharks",159928,159928
262,"ALOSA","121050100",,"-1","river herrings",161701,161701
263,"ALOSA AESTIVALIS","121050102",,"-1","blueback herring",161703,161703
264,"ALOSA ALABAMAE","121050101","01","-1","Alabama shad",161705,161705
265,"ALOSA CHRYSOCHLORIS","121050106","01","-1","blue herring",161707,161707
266,"ALOSA MEDIOCRIS","121050103","01","-1","bonejack",161704,161704
267,"ALOSA PSEUDOHARENGUS","121050104",,"-1","alewife",161706,161706
268,"ALOSA SAPIDISSIMA","121050105",,"-1","American shad",161702,161702
269,"ALPHEIDAE","228150000",,"-1","snapping shrimps",96600,96600
270,"ALPHESTES","170020200",,"-1",,203395,203395
271,"ALPHESTES AFER","170020202",,"-1","mutton hamlet",167746,167746
272,"ALPHESTES MULTIGUTTATUS","170020201",,"-1","rivulated mutton hamlet",167748,167748
273,"ALPHEUS","228150100",,"-1",,96601,96601
274,"ALPHEUS ARMATUS","228150101",,"-1","brown snapping shrimp",96612,96612
275,"ALPHEUS FLORIDANUS","228150105","03","-1","sand snapping shrimp",96607,96607
276,"ALPHEUS FORMOSUS","228150102",,"-1","striped snapping shrimp",96609,96609
277,"ALPHEUS HETEROCHELIS","228150103",,"-1",,,
278,"ALPHEUS NORMANNI","228150104",,"-1","green snapping shrimp",96606,96606
279,"ALUTERUS","189040400",,"-1","filefishes",173129,173129
280,"ALUTERUS HEUDELOTTI","189040401","18","-1",,173132,173132
281,"ALUTERUS MONOCEROS","189040402","18","-1","unicorn filefish",173133,173133
282,"ALUTERUS SCHOEPFI","189040403","18","-1","orange filefish",173131,646456
283,"ALUTERUS SCRIPTUS","189040404","18","-1","scrawled filefish",173134,173134
284,"ALVANIA","307200300",,"-1",,70798,70798
285,"ALVANIA ABBERANS","307200313",,"-1",,,
286,"ALVANIA ACUTICOSTATA","307200301",,"-1",,70824,70824
287,"ALVANIA AMBERIANA","307200302",,"-1",,,
288,"ALVANIA BRYCHIA","307200303",,"-1",,70814,70814
289,"ALVANIA CAMPTA","307200304",,"-1",,70828,70828
290,"ALVANIA CANOCICA","307200305",,"-1",,,
291,"ALVANIA CASTANCA","307200306",,"-1",,,
292,"ALVANIA CHIRIQUIENSIS","307200307",,"-1",,70840,70840
293,"ALVANIA GRADATA","307200308",,"-1",,70864,70864
294,"ALVANIA LAMPRA","307200309",,"-1",,70835,70835
295,"ALVANIA PELAGICA","307200310",,"-1",,70823,71018
296,"ALVANIA PRECIPITATA","307200311",,"-1",,70825,70825
297,"ALVANIA SANDERSONI","307200312",,"-1",,70837,70837
298,"ALYCONIIDAE","619230000",,"-1",,,
299,"AMAEA","307500100",,"-1",,72338,72338
300,"AMAEA MITCHELLI","307500101",,"-1",,72339,72339
301,"AMAEA RETIFERA","307500102",,"-1","reticulate wentletrap",72340,72340
302,"AMARANTACEAE","967010000",,"-1",,,
303,"AMAROUCIUM","596010100",,"-1",,158939,159038
304,"AMAROUCIUM STELLATUM","596010101",,"-1",,158968,158969
305,"AMASTRIDAE","322030000",,"-1",,76759,76759
306,"AMAUROPSIS","307760100",,"-1",,72879,72879
307,"AMBLYCIRRHITUS","170590100",,"-1",,170223,170223
308,"AMBLYCIRRHITUS PINOS","170590101",,"-1","redspotted hawkfish",170224,170224
309,"AMBONYCHIIDAE","330010000",,"-1",,,
310,"AMERICARDIA","335290200",,"-1",,80918,80918
311,"AMERICARDIA MEDIA","335290201",,"-1","Atlantic strawberry-cockle",80920,80920
312,"AMESODESMA","335360100",,"-1",,,
313,"AMIANTIS","335641700",,"-1",,81611,81611
314,"AMIANTIS CALLOSA","335641702",,"-1","white venus",81612,81612
315,"AMIANTIS PURPURATA","335641701",,"-1",,,
316,"AMIIFORMES","118000000",,"-1","bowfin",161100,161100
317,"AMMOCHARIDAE","650050000",,"-1",,,
318,"AMMODYTES","170630100",,"-1","sand lances",171671,171671
319,"AMMODYTES AMERICANUS","170630101",,"-1","American sand lance",171673,171673
320,"AMMODYTES DUBIUS","170630102",,"-1","northern sand lance",171674,171674
321,"AMMODYTES HEXAPTERUS","170630103",,"-1","Pacific sand lance",171672,171672
322,"AMMODYTES IMMACULATUS","170630104",,"-1",,171675,171683
323,"AMMODYTIDAE","170630000",,"-1","sand lances",171670,171670
324,"AMMONITELLIDAE","322550000",,"-1",,77415,77415
325,"AMMONOIDEA","342000000",,"-1",,,
326,"AMMOTHEIDAE","663010000",,"-1",,83572,83572
327,"AMORIA","308140100",,"-1",,,
328,"AMPHARETIDAE","650150000",,"-1",,67718,67718
329,"AMPHELIKTURUS","151060100",,"-1",,166509,166613
330,"AMPHELIKTURUS DENDRITICUS","151060101",,"-1","pipehorse",166510,166616
331,"AMPHIBOLIDAE","321030000",,"-1",,76452,76452
332,"AMPHIBULMIDAE","322340000",,"-1",,,
333,"AMPHICHTHYS","193010900",,"-1",,164427,164427
334,"AMPHICHTHYS CRYPTOCENTRUS","193010901",,"-1","sapo bocon",164428,164428
335,"AMPHICOELA","508000000",,"-1",,,
336,"AMPHICTENIDAE","650160000",,"-1",,67693,67692
337,"AMPHIDESMA","335480100",,"-1",,81291,81290
338,"AMPHILEPIDA","335130100",,"-1",,,
339,"AMPHILINIDAE","629010000",,"-1",,57401,57401
340,"AMPHILOTHALIACEAE","767010000",,"-1",,,
341,"AMPHINEURA","301000000",,"-1",,78809,78807
342,"AMPHINOMIDAE","649110000",,"-1",,65164,65164
343,"AMPHIOXIFORMES","101000000",,"-1",,685568,685568
344,"AMPHIPODA","224000000",,"-1","amphipods",93294,93294
345,"AMPHISOLENIACEAE","764020000",,"-1",,9922,9922
346,"AMPHISSA","308030100",,"-1",,73534,73534
347,"AMPHISSA HALIAEETI","308030101",,"-1","atlantic amphissa",73537,73537
348,"AMPHITHALAMUS","307200500",,"-1",,73200,73200
349,"AMPHITHALAMUS VALLEI","307200501",,"-1",,73203,73203
350,"AMPHITHOIDAE","224100000",,"-1",,,
351,"AMPHITRETIDAE","350090000",,"-1",,82685,82685
352,"AMPHITRETUS","350090100",,"-1",,555808,555808
353,"AMPHIURIDAE","692010000",,"-1",,157646,157646
354,"AMPHOTISTIUS","110050100",,"-1",,160948,160947
355,"AMPITHOE","224100100",,"-1",,93409,93409
356,"AMPITHOE RAMONDI","224100101",,"-1",,202810,202810
357,"AMPULLARIIDAE","307070000",,"-1",,70341,70341
358,"AMUSIUM","330234400",,"-1",,79730,79730
359,"AMUSIUM DALLI","330234401",,"-1",,,
360,"AMUSIUM PAPYRACEUM","330234402","12","-1","paper scallop",79731,79731
361,"AMYGDALUM","329010400",,"-1",,79528,79528
362,"AMYGDALUM DENDRITICUM","329010401",,"-1",,79531,79531
363,"AMYGDALUM PAPYRIUM","329010402",,"-1","Atlantic papermussel",79529,79529
364,"AMYGDALUM POLITUM","329010403",,"-1","polished papermussel",79532,79532
365,"AMYGDALUM SAGITTATUM","329010404",,"-1","arrow papermussel",79530,79530
366,"ANABATRON","307200800",,"-1",,,
367,"ANACANTHOBATIDAE","110100000",,"-1","leg skates",649688,649688
368,"ANACANTHOBATIS AMERICANUS","110100201",,"-1","American leg skate",160904,160904
369,"ANACANTHOBATIS LONGIROSTRIS","110100202","22","-1","longnose leg skate",160905,160905
370,"ANACHIS","308030200",,"-1",,73616,73616
371,"ANACHIS AVARA","308030201",,"-1","greedy dovesnail",73617,73617
372,"ANACHIS CATENATA","308030205",,"-1","chain dovesnail",73629,73629
373,"ANACHIS FLORIDANA","308030206",,"-1","florida dovesnail",73632,73632
374,"ANACHIS HOSTESSIERIANA","308030209",,"-1",,,
375,"ANACHIS OBESA","308030203",,"-1","fat dovesnail",73622,73622
376,"ANACHIS PULCHELLA","308030208",,"-1","beautiful dovesnail",73652,73652
377,"ANACHIS SEMIPLICATA","308030207",,"-1","gulf dovesnail",73661,73661
378,"ANACHIS SPARSA","308030204",,"-1","sparse dovesnail",73634,73634
379,"ANACHIS TRANSLIRATA","308030202",,"-1",,73621,73621
380,"ANACROGYNACEAF","904010000",,"-1",,,
381,"ANADARA","328043600",,"-1",,79337,79337
382,"ANADARA BAUGHMANI","328043602","11","-1","skewed ark",79351,79351
383,"ANADARA BRASILIANA","328043601",,"-1","incongruous ark",79348,79348
384,"ANADARA CHEMNITZI","328043603",,"-1",,,
385,"ANADARA FLORIDANA","328043605",,"-1","cut-ribbed ark",79356,79356
386,"ANADARA LIENOSA","328043604",,"-1",,79350,79350
387,"ANADARA NOTABILIS","328043606",,"-1","eared ark",79353,79353
388,"ANADARA OVALIS","328043607","11","-1","blood ark",79342,79342
389,"ANADARA TRANSVERSA","328043608","11","-1","transverse ark",79340,79340
390,"ANAPAGURUS","229050100",,"-1",,97856,97856
391,"ANAPAGURUS ANTILLENSIS","229050101",,"-1",,,
392,"ANARCHIAS","143060700",,"-1",,161161,161161
393,"ANARCHIAS YOSHIAE","143060701",,"-1","pygmy moray",161162,161169
394,"ANARHICHADIDAE","170660000",,"-1","wolffishes",171335,171335
395,"ANARICHAS","170660100",,"-1",,,
396,"ANARICHAS DENTICULATUS","170660101",,"-1",,,
397,"ANARICHAS LUPUS","170660102",,"-1",,,
398,"ANARICHAS MINOR","170660103",,"-1",,,
399,"ANASIMUS","229210600",,"-1",,98495,98495
400,"ANASIMUS LATUS","229210601","06","-1","stilt spider crab",98496,98496
401,"ANASPIDEA","316000000",,"-1",,78015,78015
402,"ANATINELLA","335350100",,"-1",,655974,655974
403,"ANATINELLIDAE","335350000",,"-1",,80991,80991
404,"ANCHISTIOIDES","228120100",,"-1",,96540,96540
405,"ANCHISTIOIDES ANTIGUENSIS","228120101",,"-1",,96541,96541
406,"ANCHISTUS","228121200",,"-1",,612165,612165
407,"ANCHOA","121060100",,"-1","common anchovies",161837,161837
408,"ANCHOA CAYORUM","121060109",,"-1","key anchovy",161846,161846
409,"ANCHOA CUBANA","121060104","01","-1","Cuban anchovy",161840,161840
410,"ANCHOA DUODECIM","121060110",,"-1","New Jersey anchovy",161849,551406
411,"ANCHOA HEPSETUS","121060101","01","-1","broad-striped anchovy",161838,161838
412,"ANCHOA LAMPROTAENIA","121060102","01","-1","big-eye anchovy",161841,161841
413,"ANCHOA LYOLEPIS","121060105","01","-1","dusky anchovy",161842,161842
414,"ANCHOA MITCHILLI","121060103","01","-1","bay anchovy",161839,161839
415,"ANCHOA NASUTA","121060106","01","-1","longnose anchovy",161843,161842
416,"ANCHOA SPINIFER","121060107",,"-1","spicule anchovy",161844,161844
417,"ANCHOA TRICOLOR","121060108",,"-1","piquitinga",161845,161845
418,"ANCHOROPHORIDAE","626090000",,"-1",,54989,54989
419,"ANCHOVIELLA","121060300",,"-1",,161853,161853
420,"ANCHOVIELLA LEPIDENTOSTOLE","121060303",,"-1","broadband anchovy",161856,161856
421,"ANCHOVIELLA PERFASCIATA","121060302","01","-1","flat anchovy",161857,161857
422,"ANCILLA","308110300",,"-1",,74288,74288
423,"ANCILLA GLABRATA","308110301",,"-1",,74289,74289
424,"ANCISTROCHIRUS","348030400",,"-1",,,
425,"ANCISTROTEUTHIS","348050300",,"-1",,82455,82455
426,"ANCISTROTEUTHIS LICHTENSTEINII","348050301",,"-1",,,
427,"ANCULA","319120200",,"-1",,78406,78406
428,"ANCULA EVELINAE","319120201",,"-1",,78410,78410
429,"ANCYLIDAE","321110000",,"-1",,76568,76568
430,"ANCYLOPSETTA","183012100",,"-1","ocellated flounders",172751,172751
431,"ANCYLOPSETTA ANTILLARUM","183012103",,"-1",,172752,172752
432,"ANCYLOPSETTA CYCLOIDEA","183012101",,"-1",,172753,172753
433,"ANCYLOPSETTA DILECTA","183012102","18","-1","three-eye flounder",172754,172754
434,"ANCYLOPSETTA KUMPERAE","183012104",,"-1",,172755,172755
435,"ANCYLOPSETTA MICROCTENUS","183012106",,"-1",,172756,172756
436,"ANCYLOPSETTA QUADROCELLATA","183012105","18","-1","ocellated flounder",172757,616601
437,"ANCYLUS","321110200",,"-1",,76580,76580
438,"ANDRANA","324030100",,"-1",,,
439,"ANDRANELLA","324030200",,"-1",,,
440,"ANDREAEALES","908000000",,"-1",,15744,15744
441,"ANGIOSPERMAE","941000000",,"-1","angiosperms",18062,18063
442,"ANGUILLA","143020100",,"-1","freshwater eels",161126,161126
443,"ANGUILLA ANGUILLA","143020102",,"-1","common eel",161128,161128
444,"ANGUILLA ROSTRATA","143020101","18","-1","American eel",161127,161127
445,"ANGUILLIDAE","143020000",,"-1","freshwater eels",161125,161125
446,"ANGUILLIFORMES","143000000",,"-1","eels",161123,161123
447,"ANGUIPECTEN","330231300",,"-1",,,
448,"ANGULUS","335440300",,"-1",,,
449,"ANICULUS","229050200",,"-1",,660083,660083
450,"ANISODORIS","319050600",,"-1",,78182,78182
451,"ANISODORIS PREA","319050602",,"-1",,78185,78185
452,"ANISODORIS WORKI","319050601",,"-1",,78184,78184
