StratumCode,Areakm2
13,12399
120,11104
12,6876
151,6888
210,2788
111,8154
410,10263.141588705334
10,8333
110,4245
251,3927
310,2530
351,773
11,13681
520,6399.499264346264
420,6254.164811261699
122,5011
320,1604
221,1528
510,5233.395517747829
22,10792
20,7941
130,7912
31,15403
430,18261.790677652833
220,10018
330,2912
231,1623
134,5026
250,1125
150,4196
121,7735
30,5766
530,9325.552958343382
112,2278
450,1143.5056220276556
350,2344
21,7302
241,2127
142,9032
131,7336
132,10981
230,6659
240,3043
133,12077
141,5277
140,7346
540,356.1277793084457
32,9887
341,1521
440,7994.595418758876
340,1107
41,6714
35,2200
143,7728
232,3208
40,9947
33,5260
50,6546
550,360.8943441919872
