SCINAME,COMNAME,SVSPP
ABLENNES HIANS,FLAT NEEDLEFISH,068
ABRALIA VERANYI,RUPPELL'S ABRALIA,509
ABUDEFDUF SAXATILIS,SERGEANT MAJOR,669
ACANTHOCARPUS ALEXANDRI,GLADIATOR BOX CRAB,604
ACANTHOCYBIUM SOLANDRI,WAHOO,125
ACANTHURUS BAHIANUS,OCEAN SURGEON,740
ACANTHURUS CHIRURGUS,DOCTORFISH,741
ACANTHURUS COERULEUS,BLUE TANG,742
ACIPENSER BREVIROSTRUM,SHORTNOSE STURGEON,379
ACIPENSER OXYRHYNCHUS,ATLANTIC STURGEON,380
AETOBATIS NARINARI,SPOTTED EAGLE RAY,271
ALBULA VULPES,BONEFISH,383
ALECTIS CILIARIS,AFRICAN POMPANO,568
ALEPISAURUS FEROX,LONGNOSE LANCETFISH,440
ALEPOCEPHALIIDAE,SLICKHEAD UNCL,039
ALOPIAS SUPERCILIOSUS,BIGEYE THRESHER SHARK,926
ALOPIAS VULPINUS,THRESHER SHARK,925
ALOSA AESTIVALIS,BLUEBACK HERRING,034
ALOSA MEDIOCRIS,HICKORY SHAD,037
ALOSA PSEUDOHARENGUS,ALEWIFE,033
ALOSA SAPIDISSIMA,AMERICAN SHAD,035
ALUTERUS HEUDELOTI,DOTTEREL FILEFISH,830
ALUTERUS MONOCEROS,UNICORN FILEFISH,831
ALUTERUS SCHOEPFI,ORANGE FILEFISH,832
ALUTERUS SCRIPTUS,SCRAWLED FILEFISH,833
AMBLYRAJA RADIATA,THORNY SKATE,028
AMMODYTES AMERICANUS,AMERICAN SAND LANCE,734
AMMODYTES DUBIUS,NORTHERN SAND LANCE,181
ANARCHIAS SIMILIS,PYGMY MORAY,385
ANARHICHAS LUPUS,ATLANTIC WOLFFISH,192
ANCHOA CUBANA,CUBAN ANCHOVY,889
ANCHOA HEPSETUS,STRIPED ANCHOVY,044
ANCHOA LYOLEPIS,DUSKY ANCHOVY,859
ANCHOA MITCHILLI,BAY ANCHOVY,043
ANCHOA NASUTA,LONGNOSE ANCHOVY,890
ANCHOVIELLA PERFASCIATA,FLAT ANCHOVY,430
ANCYLOPSETTA DILECTA,THREE-EYE FLOUNDER,774
ANCYLOPSETTA QUADROCELLATA,OCELLATED FLOUNDER,775
ANGUILLA ROSTRATA,AMERICAN EEL,384
ANGUILLIFORMES,EEL UNCL,060
ANISOTREMUS VIRGINICUS,PORKFISH,626
