strgrp_desc,stratum,stratum_name,stratum_area,midlat,midlon,minlat,maxlat,minlon,maxlon,blocks,notows,doe,doc,uoe,uoc
"OFFSHORE REGULAR","01010","SNE HUDSON CANYN",2516,4008,7307,3928,4046,7216,7351,620,1,,,,
"OFFSHORE REGULAR","01020","SNE HUDSON CANYN",2078,3942,7246,3912,4031,7143,7339,562,7,,,,
"OFFSHORE REGULAR","01030","SNE HUDSON CANYN",566,3925,7226,3909,3957,7141,7245,144,3,,,,
"OFFSHORE REGULAR","01040","SNE HUDSON CANYN",188,3920,7216,3908,3954,7139,7242,50,3,,,,
"OFFSHORE REGULAR","01050","SNE BLOCK ISLAND",1475,4105,7120,4031,4125,7045,7231,392,5,,,,
"OFFSHORE REGULAR","01060","SNE BLOCK ISLAND",2554,4033,7121,3957,4057,7033,7216,69,60,,,,
"OFFSHORE REGULAR","01070","SNE BLOCK ISLAND",514,4011,7055,3955,4018,7030,7143,138,3,,,,
"OFFSHORE REGULAR","01080","SNE BLOCK ISLAND",230,4003,7105,3951,4005,7023,7141,63,3,,,,
"OFFSHORE REGULAR","01090","SNE NANTUCKET",1522,4048,6946,4033,4115,6911,7050,409,5,,,,
"OFFSHORE REGULAR","01100","SNE NANTUCKET",2722,4023,6930,4000,4100,6848,7044,722,8,,,,
"OFFSHORE REGULAR","01110","SNE NANTUCKET",622,4002,6948,3956,4015,6847,7032,166,3,,,,
"OFFSHORE REGULAR","01120","SNE NANTUCKET",176,4002,6911,3954,4014,6847,7028,47,3,,,,
"OFFSHORE REGULAR","01130","GEO SW PART",2374,4044,6746,4015,4112,6649,6855,636,9,,,,
"OFFSHORE REGULAR","01140","GEO SW PART",656,4026,6801,4008,4048,6647,6848,175,4,,,,
"OFFSHORE REGULAR","01150","GEO SW PART",230,4018,6802,4006,4046,6645,6847,61,3,,,,
"OFFSHORE REGULAR","01160","GEO EASTERN PART",2980,4130,6630,4048,4210,6554,6720,737,10,,,,
"OFFSHORE REGULAR","01170","GEO EASTERN PART",360,4128,6602,4047,4210,6544,6649,96,4,,,,
"OFFSHORE REGULAR","01180","GEO EASTERN PART",172,4122,6602,4045,4210,6540,6647,55,3,,,,
"OFFSHORE REGULAR","01190","GEO LITTLE GEORG",2454,4127,6736,4039,4210,6657,6840,542,9,,,,
"OFFSHORE REGULAR","01200","GEO CULTIVATOR",1221,4142,6754,4100,4211,6704,6840,230,6,,,,
"OFFSHORE REGULAR","01210","GEO NORTHRN EDGE",424,4207,6659,4139,4211,6603,6827,113,4,,,,
"OFFSHORE REGULAR","01220","GEO NORTHRN EDGE",454,4208,6738,4140,4213,6558,6828,121,4,,,,
"OFFSHORE REGULAR","01230","GEO GT S CHANNEL",1016,4110,6850,4100,4203,6821,6955,269,5,,,,
"OFFSHORE REGULAR","01240","GME E OF CAPECOD",2569,4146,6850,4111,4227,6816,6951,691,6,,,,
"OFFSHORE REGULAR","01250","SNE OFF CHATHAM",390,4127,6931,4100,4201,6910,7000,104,4,,,,
"OFFSHORE REGULAR","01260","GME OFF BOSTON",1014,4230,7015,4100,4313,6952,7040,213,5,,,,
"OFFSHORE REGULAR","01270","GME OFF CAPE ANN",720,4309,7010,4202,4325,6944,7030,197,4,,,,
"OFFSHORE REGULAR","01280","GME WILKINSON",2249,4224,6924,4148,4305,6828,6958,611,7,,,,
"OFFSHORE REGULAR","01290","GME N OF GEORGES",3245,4230,6738,4146,4245,6538,6833,881,8,,,,
"OFFSHORE REGULAR","01300","GME N OF GEORGES",619,4227,6701,4216,4238,6629,6734,167,3,,,,
"OFFSHORE REGULAR","01310","SCO OFF BROWNS B",1875,4252,6536,4208,4308,6510,6704,533,7,,,,
"OFFSHORE REGULAR","01320","SCO BROWNS BANK",655,4239,6556,4222,4252,6516,6627,180,5,,,,
"OFFSHORE REGULAR","01330","GME W NOV SCOTIA",861,4340,6625,4307,4416,6610,6644,169,4,,,,
"OFFSHORE REGULAR","01340","GME W NOV SCOTIA",1766,4339,6648,4254,4412,6626,6729,461,6,,,,
"OFFSHORE REGULAR","01350","GME BAY OF FUNDY",1097,4420,6636,4401,4448,6605,6724,279,4,,,,
"OFFSHORE REGULAR","01351","GME BAY OF FUNDY",533,,,4401,4425,6633,6725,142,2,,,,
"OFFSHORE REGULAR","01352","GME BAY OF FUNDY",600,,,4416,4449,6607,6647,160,2,,,,
"OFFSHORE REGULAR","01360","GME CENTRAL",4069,4318,6736,4245,4417,6637,6835,1029,8,,,,
"OFFSHORE REGULAR","01370","GME W CENTRAL",2108,4301,6902,4234,4317,6828,6958,505,5,,,,
"OFFSHORE REGULAR","01380","GME NW CENTRAL",2560,4331,6849,4315,4422,6721,7000,682,5,,,,
"OFFSHORE REGULAR","01390","GME MAINE COAST",730,4359,6822,4337,4428,6725,6907,170,5,,,,
"OFFSHORE REGULAR","01400","GME MAINE COAST",578,4330,7000,4244,4350,6906,7040,133,3,,,,
"OFFSHORE REGULAR","01410","SCO OFF SCO BANK",3885,4310,6430,4218,4358,6320,6523,,,,,,
"OFFSHORE REGULAR","01420","SCO SCOTIAN BANK",582,4311,6405,4250,4332,6353,6504,,,,,,
"OFFSHORE REGULAR","01490","SCO SCOTIANSLOPE",198,4236,6427,4206,4251,6320,6536,,,,,,
"OFFSHORE REGULAR","01610","MAB OFF HATTERAS",1318,3605,7510,3530,3630,7452,7536,332,3,,,,
"OFFSHORE REGULAR","01620","MAB OFF HATTERAS",243,3602,7453,3530,3630,7442,7458,69,2,,,,
"OFFSHORE REGULAR","01630","MAB OFF HATTERAS",86,3606,7446,3530,3630,7444,7453,23,2,,,,
"OFFSHORE REGULAR","01640","MAB OFF HATTERAS",60,3610,7444,3530,3630,7443,7451,16,2,,,,
"OFFSHORE REGULAR","01650","MAB CHESAPEAKE B",2832,3705,7512,3630,3754,7439,7540,705,7,,,,
"OFFSHORE REGULAR","01660","MAB CHESAPEAKE B",555,3715,7440,3630,3742,7422,7452,145,3,,,,
"OFFSHORE REGULAR","01670","MAB CHESAPEAKE B",86,3714,7433,3630,3734,7420,7447,23,2,,,,
"OFFSHORE REGULAR","01680","MAB CHESAPEAKE B",52,3714,7431,3630,3733,7419,7446,14,2,,,,
"OFFSHORE REGULAR","01690","MAB DELAWARE BAY",2433,3825,7425,3742,3902,7345,7503,596,6,,,,
"OFFSHORE REGULAR","01700","MAB DELAWARE BAY",1024,3813,7405,3734,3841,7324,7439,252,4,,,,
"OFFSHORE REGULAR","01710","MAB DELAWARE BAY",281,3804,7356,3733,3831,7321,7421,70,2,,,,
"OFFSHORE REGULAR","01720","MAB DELAWARE BAY",105,3801,7353,3732,3828,7320,7420,28,2,,,,
"OFFSHORE REGULAR","01730","MAB NEW JERSEY",2145,3920,7338,3840,4000,7307,7423,485,5,,,,
"OFFSHORE REGULAR","01740","MAB NEW JERSEY",1273,3900,7309,3829,3928,7246,7345,305,4,,,,
"OFFSHORE REGULAR","01750","MAB NEW JERSEY",139,3853,7257,3828,3912,7242,7323,37,2,,,,
"OFFSHORE REGULAR","01760","MAB NEW JERSEY",60,3850,7258,3828,3909,7240,7321,16,2,,,,
"Offshore","01990","Outside all existing strata",,,,,,,,,,,,,
"INSHORE REGULAR","03010","SNE BLOCK ISLAND",44,4144,7149,4058,4109,7136,7200,14,1,,,,
"INSHORE REGULAR","03020","SNE BLOCK ISLAND",62,4142,7147,4055,4107,7136,7200,10,2,,,,
"INSHORE REGULAR","03030","SNE LONG ISLAND",13,4056,7213,4050,4101,7200,7226,6,1,,,,
"INSHORE REGULAR","03040","SNE LONG ISLAND",26,4055,7211,4049,4059,7200,7226,5,2,,,,
"INSHORE REGULAR","03050","SNE LONG ISLAND",62,4054,7211,4049,4058,7200,7226,10,2,,,,
"INSHORE REGULAR","03060","SNE LONG ISLAND",26,4044,7244,4037,4051,7226,7312,8,1,,,,
"INSHORE REGULAR","03070","SNE LONG ISLAND",35,4044,7248,4036,4050,7226,7312,9,2,,,,
"INSHORE REGULAR","03080","SNE LONG ISLAND",150,4042,7250,4030,4049,7226,7312,31,2,,,,
