"","SCINAME","SVSPP","ITISSPP","COMNAME","AUTHOR"
NA,UNIDENTIFIED FISH,0,NA,UNCLASSIFIED FISH,NA
NA,MYXINE GLUTINOSA,1,159772,ATLANTIC HAGFISH,Linnaeus, 1758
NA,PETROMYZON MARINUS,2,159722,SEA LAMPREY,Linnaeus, 1758
NA,CARCHARHINUS OBSCURUS,3,160268,DUSKY SHARK,(Lesueur, 1818)
NA,DASYATIS CENTROURA,4,160952,ROUGHTAIL STINGRAY,(Mitchill, 1815)
NA,RAJIFORMES,5,160806,RAY AND SKATE UNCL,NA
NA,CETORHINUS MAXIMUS,6,159907,BASKING SHARK,(Gunner, 1765)
NA,CENTROSCYLLIUM FABRICII,7,160703,BLACK DOGFISH,(Reinhardt, 1825)
NA,ETMOPTERUS PRINCEPS,8,160659,ROUGH SAGRE,Collett, 1904
NA,CARCHARHINUS PLUMBEUS,9,160289,SANDBAR SHARK,(Nardo, 1827)
NA,SELACHIMORPHA,11,NA,SHARK UNCL,NA
NA,CARCHARIAS TAURUS,12,159888,SAND TIGER,NA
NA,MUSTELUS CANIS,13,160230,SMOOTH DOGFISH,(Mitchill, 1815)
NA,SCYLIORHINUS RETIFER,14,160060,CHAIN DOGFISH,(Garman, 1881)
NA,SQUALUS ACANTHIAS,15,160617,SPINY DOGFISH,Linnaeus, 1758
NA,SQUATINA DUMERIL,16,160787,ATLANTIC ANGEL SHARK,Lesueur, 1818
NA,PRIONACE GLAUCA,17,160424,BLUE SHARK,(Linnaeus, 1758)
NA,DASYATIS SAY,18,160954,BLUNTNOSE STINGRAY,(Lesueur, 1817)
NA,MYLIOBATIS FREMINVILLEI,19,160980,BULLNOSE RAY,Lesueur, 1824 (syn)
NA,RAJA ,20,160846,OCELLATE SKATES,NA
NA,TORPEDO NOBILIANA,21,160834,ATLANTIC TORPEDO,Bonaparte, 1835
NA,DIPTURUS LAEVIS,22,564139,BARNDOOR SKATE,(Mitchill, 1818)
NA,LEUCORAJA OCELLATA,23,564145,WINTER SKATE,(Mitchill, 1815)
NA,RAJA EGLANTERIA,24,160855,CLEARNOSE SKATE,Bosc, 1800
NA,LEUCORAJA GARMANI,25,564136,ROSETTE SKATE,(Whitley, 1939)
NA,LEUCORAJA ERINACEA,26,564130,LITTLE SKATE,(Mitchill, 1825)
NA,MALACORAJA SENTA,27,564151,SMOOTH SKATE,(Garman, 1885)
NA,AMBLYRAJA RADIATA,28,564149,THORNY SKATE,(Donovan, 1808)
NA,DASYATIS AMERICANA,29,160951,SOUTHERN STINGRAY,Hildebrand and Schroeder, 1928
NA,CLUPEIDAE,30,161700,HERRING UNCL,NA
NA,ETRUMEUS TERES,31,161743,ROUND HERRING,(De Kay, 1842)
NA,CLUPEA HARENGUS,32,161722,ATLANTIC HERRING,Linnaeus, 1758
NA,ALOSA PSEUDOHARENGUS,33,161706,ALEWIFE,(Wilson in Rees, 1811)
NA,ALOSA AESTIVALIS,34,161703,BLUEBACK HERRING,(Mitchill, 1814)
