test.spp
Abietinaria greenei
Abietinaria sp.
Actinostola sp. B (Clark 2006)
Aequorea sp.
Aglaophenia sp.
Alaskagorgia aleutiana
Alcyonidium disciforme
Alcyonidium pedunculatum
Alcyonidium sp.
Alcyonidium sp. A
Alcyonium sp. A (Clark 2006)
Amaroucium soldatovi
Ammodytes personatus
Anarrhichthys ocellatus
Aphrodita negligens
Aplidium sp.
Arthrogorgia otsukai
Asbestopluma sp. A (Clark 2006)
Ascidia paratropa
Astarte elliptica
Axinella sp.
Bathyraja panthera
Bugula pacifica
Calcigorgia beringi
Careproctus scottae
Ceramaster stellatus
Chaetopterus sp.
Cheiraster sp.
Chondrocladia gigantea
Cladocroce kiska
Clavularia incrustans
Craniella arb
Craniella sigmoancoratum
Craniella spinosa
Craniella sputnika
Craniella villosa
Crella brunnea
Cryogorgia koolsae
Cucumaria frondosa
Dendrobeania sp.
Distaplia occidentalis
Distaplia smithi
Distaplia sp.
Elassochirus gilli
Errinopora dichotoma
Errinopora fisheri
Farrea sp.
Geodia mesotriaena
Geodia sp.
Geodinella lendenfeldi
Geodinella sp.
Gorgonocephalus sp.
Halichondria oblonga
Halichondria sitiens
Haliclona digitata
Haliclona sp. 2 (Stone et al. 2011)
Halipteris willemoesi
Henricia dyscrita
Henricia sp. E (Clark 2006)
Hymeniacidon assimilis
Inflatella globosa
Isodictya palmata
Japelion sp. A
Latrunculia oparinae
Latrunculia sp.
Latrunculia sp. B (Clark 2006)
Lebbeus washingtonianus
Leptasterias katharinae
Leptasterias truculenta
Leucandra tuba
Malacocottus kincaidi
Monanchora alaskensis
Mycale tylota
Myxilla lacunosa
Odontohenricia ahearnae
Odontohenricia sp. B (Clark)
Ophiolebes sp. F (Clark 2006)
Ophiura luetkenii
Ophiura sp.
Pandalopsis longirostris
Pandalopsis sp. cf. lamelligera
Phorbas paucistylifer
Plakina tanaga
Plumarella aleutiana
Plumarella superba
Polymastia fluegeli
Polymastia pacifica
Polymastia sp.
Polymastia sp. A (Clark 2006)
Pteraster sp. D (Clark)
Pteraster willsi
Pyrulofusus sp.
Rocinela angustata
Sasakiopus salebrosus
Sebastes aleutianus
Sebastes melanostictus
Stylaster alaskanus
Stylaster crassiseptum
Stylaster trachystomus
Suberites domuncula
Suberites sp. A (Clark 2006)
Swiftia pacifica
Synallactes sp. A (Clark 2006)
Tentorium semisuberites
Vulcanella sp.
