test.spp
Ammodytes personatus
Atolla sp.
Aurelia labiata
Axinella blanca
Benthoctopus oregonensis
Boltenia villosa
Cheiraster sp.
Demospongiae
Distaplia sp.
Doris odhneri
Eumicrotremus gyrinops
Flustrellidra corniculata
Halichondria sitiens
Halipteris sp. A (Stone 2015)
Henricia dyscrita
Hexagrammidae
Hyas sp.
Isididae
Lophaster vexator
Luidia foliolata
Modiolus modiolus
Neptunea pribiloffensis
Odontohenricia fisheri
Ophiopholis japonica
Osmeridae
Pagurus ochotensis
Pleuronichthys decurrens
Pteraster marssipus
Pteraster tesselatus
Stelodoryx oxeata
Suberites sp.
Synallactes challengeri
Zoanthidae sp. A
Zoarcidae
