"SCINAME"	"SVSPP"	"ITISSPP"	"COMNAME"	"AUTHOR"
"1"	"UNIDENTIFIED FISH"	0	NA	"UNCLASSIFIED FISH"	NA
"2"	"MYXINE GLUTINOSA"	1	159772	"ATLANTIC HAGFISH"	"Linnaeus, 1758"
"3"	"PETROMYZON MARINUS"	2	159722	"SEA LAMPREY"	"Linnaeus, 1758"
"4"	"CARCHARHINUS OBSCURUS"	3	160268	"DUSKY SHARK"	"(Lesueur, 1818)"
"5"	"DASYATIS CENTROURA"	4	160952	"ROUGHTAIL STINGRAY"	"(Mitchill, 1815)"
"6"	"RAJIFORMES"	5	160806	"RAY AND SKATE UNCL"	NA
"7"	"CETORHINUS MAXIMUS"	6	159907	"BASKING SHARK"	"(Gunner, 1765)"
"8"	"CENTROSCYLLIUM FABRICII"	7	160703	"BLACK DOGFISH"	"(Reinhardt, 1825)"
"9"	"ETMOPTERUS PRINCEPS"	8	160659	"ROUGH SAGRE"	"Collett, 1904"
"10"	"CARCHARHINUS PLUMBEUS"	9	160289	"SANDBAR SHARK"	"(Nardo, 1827)"
"11"	"SELACHIMORPHA"	11	NA	"SHARK UNCL"	NA
"12"	"CARCHARIAS TAURUS"	12	159888	"SAND TIGER"	NA
"13"	"MUSTELUS CANIS"	13	160230	"SMOOTH DOGFISH"	"(Mitchill, 1815)"
"14"	"SCYLIORHINUS RETIFER"	14	160060	"CHAIN DOGFISH"	"(Garman, 1881)"
"15"	"SQUALUS ACANTHIAS"	15	160617	"SPINY DOGFISH"	"Linnaeus, 1758"
"16"	"SQUATINA DUMERIL"	16	160787	"ATLANTIC ANGEL SHARK"	"Lesueur, 1818"
"17"	"PRIONACE GLAUCA"	17	160424	"BLUE SHARK"	"(Linnaeus, 1758)"
"18"	"DASYATIS SAY"	18	160954	"BLUNTNOSE STINGRAY"	"(Lesueur, 1817)"
"19"	"MYLIOBATIS FREMINVILLEI"	19	160980	"BULLNOSE RAY"	"Lesueur, 1824 (syn)"
"20"	"RAJA "	20	160846	"OCELLATE SKATES"	NA
"21"	"TORPEDO NOBILIANA"	21	160834	"ATLANTIC TORPEDO"	"Bonaparte, 1835"
"22"	"DIPTURUS LAEVIS"	22	564139	"BARNDOOR SKATE"	"(Mitchill, 1818)"
"23"	"LEUCORAJA OCELLATA"	23	564145	"WINTER SKATE"	"(Mitchill, 1815)"
"24"	"RAJA EGLANTERIA"	24	160855	"CLEARNOSE SKATE"	"Bosc, 1800"
"25"	"LEUCORAJA GARMANI"	25	564136	"ROSETTE SKATE"	"(Whitley, 1939)"
"26"	"LEUCORAJA ERINACEA"	26	564130	"LITTLE SKATE"	"(Mitchill, 1825)"
"27"	"MALACORAJA SENTA"	27	564151	"SMOOTH SKATE"	"(Garman, 1885)"
"28"	"AMBLYRAJA RADIATA"	28	564149	"THORNY SKATE"	"(Donovan, 1808)"
"29"	"DASYATIS AMERICANA"	29	160951	"SOUTHERN STINGRAY"	"Hildebrand and Schroeder, 1928"
"30"	"CLUPEIDAE"	30	161700	"HERRING UNCL"	NA
"31"	"ETRUMEUS TERES"	31	161743	"ROUND HERRING"	"(De Kay, 1842)"
"32"	"CLUPEA HARENGUS"	32	161722	"ATLANTIC HERRING"	"Linnaeus, 1758"
"33"	"ALOSA PSEUDOHARENGUS"	33	161706	"ALEWIFE"	"(Wilson in Rees, 1811)"
"34"	"ALOSA AESTIVALIS"	34	161703	"BLUEBACK HERRING"	"(Mitchill, 1814)"
"35"	"ALOSA SAPIDISSIMA"	35	161702	"AMERICAN SHAD"	"(Wilson in Rees, 1811)"
"36"	"BREVOORTIA TYRANNUS"	36	161732	"ATLANTIC MENHADEN"	"(Latrobe, 1802)"
"37"	"ALOSA MEDIOCRIS"	37	161704	"HICKORY SHAD"	"(Mitchill, 1814)"
"38"	"MALLOTUS VILLOSUS"	38	162035	"CAPELIN"	"(Mueller, 1776)"
"39"	"ALEPOCEPHALIDAE "	39	162303	"SLICKHEADS"	NA
"40"	"ANCHOA MITCHILLI"	43	161839	"BAY ANCHOVY"	"(Valenciennes in Cuvier and Valenciennes, 1848)"
"41"	"ANCHOA HEPSETUS"	44	161838	"STRIPED ANCHOVY"	"(Linnaeus, 1758)"
"42"	"OSMERUS MORDAX"	45	162041	"RAINBOW SMELT"	"(Mitchill, 1814)"
"43"	"ARGENTINA SILUS"	46	162064	"ATLANTIC ARGENTINE"	"Ascanius, 1775"
"44"	"CHLOROPHTHALMIDAE"	47	162427	"GREENEYE UNCL"	NA
"45"	"BENTHOSEMA GLACIALE"	51	162680	"GLACIER LANTERNFISH"	"(Reinhardt, 1837)"
