StratumCode,OldStratumCode,DepthIntervalm,Areanmi2
1010,1,,2516
1020,2,,2078
1030,3,,566
1040,4,,188
1050,5,,1475
1060,6,,2554
1070,7,,514
1080,8,,230
1090,9,,1522
1100,10,,2722
1110,11,,622
1120,12,,176
1130,13,,2374
1140,14,,656
1150,15,,230
1160,16,,2980
1170,17,,360
1180,18,,172
1190,19,,2454
1200,20,,1221
1210,21,,424
1220,22,,454
1230,23,,1016
1240,24,,2569
1250,25,,390
1260,26,,1014
1270,27,,720
1280,28,,2249
1290,29,,3245
1300,30,,619
1310,31,,2185
1320,32,,655
1330,33,,861
1340,34,,1766
1350,35,,1097
1360,36,,4069
1370,37,,2108
1380,38,,2560
1390,39,,730
1400,40,,578
1410,41,,1570
1420,42,,156
1430,43,,860
1440,44,,934
1450,45,,150
1460,46,,247
1470,47,,1159
1480,48,,1184
1490,49,,198
1610,61,,1318
1620,62,,243
1630,63,,86
1640,64,,60
1650,65,,2832
1660,66,,555
1670,67,,86
1680,68,,52
1690,69,,2433
1700,70,,1024
1710,71,,281
1720,72,,105
1730,73,,2145
1740,74,,1273
1750,75,,139
1760,76,,60
