"SCINAME"	"SVSPP"	"ITISSPP"	"COMNAME"	"AUTHOR"
"UNIDENTIFIED FISH"	0	NA	"UNCLASSIFIED FISH"	NA
"MYXINE GLUTINOSA"	1	159772	"ATLANTIC HAGFISH"	"Linnaeus, 1758"
"PETROMYZON MARINUS"	2	159722	"SEA LAMPREY"	"Linnaeus, 1758"
"CARCHARHINUS OBSCURUS"	3	160268	"DUSKY SHARK"	"(Lesueur, 1818)"
"DASYATIS CENTROURA"	4	160952	"ROUGHTAIL STINGRAY"	"(Mitchill, 1815)"
"RAJIFORMES"	5	160806	"RAY AND SKATE UNCL"	NA
"CETORHINUS MAXIMUS"	6	159907	"BASKING SHARK"	"(Gunner, 1765)"
"CENTROSCYLLIUM FABRICII"	7	160703	"BLACK DOGFISH"	"(Reinhardt, 1825)"
"ETMOPTERUS PRINCEPS"	8	160659	"ROUGH SAGRE"	"Collett, 1904"
"CARCHARHINUS PLUMBEUS"	9	160289	"SANDBAR SHARK"	"(Nardo, 1827)"
"SELACHIMORPHA"	11	NA	"SHARK UNCL"	NA
"CARCHARIAS TAURUS"	12	159888	"SAND TIGER"	NA
"MUSTELUS CANIS"	13	160230	"SMOOTH DOGFISH"	"(Mitchill, 1815)"
"SCYLIORHINUS RETIFER"	14	160060	"CHAIN DOGFISH"	"(Garman, 1881)"
"SQUALUS ACANTHIAS"	15	160617	"SPINY DOGFISH"	"Linnaeus, 1758"
"SQUATINA DUMERIL"	16	160787	"ATLANTIC ANGEL SHARK"	"Lesueur, 1818"
"PRIONACE GLAUCA"	17	160424	"BLUE SHARK"	"(Linnaeus, 1758)"
"DASYATIS SAY"	18	160954	"BLUNTNOSE STINGRAY"	"(Lesueur, 1817)"
"MYLIOBATIS FREMINVILLEI"	19	160980	"BULLNOSE RAY"	"Lesueur, 1824 (syn)"
"RAJA "	20	160846	"OCELLATE SKATES"	NA
"TORPEDO NOBILIANA"	21	160834	"ATLANTIC TORPEDO"	"Bonaparte, 1835"
