test.spp,region
Actinostolidae,Westcoast Triennial
Anoplogaster cornuta,Westcoast Triennial
Anotopterus nikparini,Westcoast Triennial
Anthoptilum grandiflorum,Westcoast Triennial
Antiplanes sp.,Westcoast Triennial
Aphrodita sp.,Westcoast Triennial
Aphroditidae,Westcoast Triennial
Armina californica,Westcoast Triennial
Asterias amurensis,Westcoast Triennial
Asterina miniata,Westcoast Triennial
Asteronyx longifissa,Westcoast Triennial
Astropecten californicus,Westcoast Triennial
Aurelia sp.,Westcoast Triennial
Bathyagonus pentacanthus,Westcoast Triennial
Bathymasteridae,Westcoast Triennial
Bathyplotes sp.,Westcoast Triennial
Benthalbella dentata,Westcoast Triennial
Benthopectinidae,Westcoast Triennial
Brachiopoda,Westcoast Triennial
Buccinum strigillatum,Westcoast Triennial
Calinaticina oldroyi,Westcoast Triennial
Calliostoma platinum,Westcoast Triennial
Careproctus abbreviatus,Westcoast Triennial
Careproctus cypselurus,Westcoast Triennial
Careproctus rastrinus,Westcoast Triennial
Chiroteuthis sp.,Westcoast Triennial
Chrysaora sp.,Westcoast Triennial
Dasycottus setiger,Westcoast Triennial
Embiotocidae,Westcoast Triennial
Florometra serratissima,Westcoast Triennial
Florometra sp.,Westcoast Triennial
Gephyreaster swifti,Westcoast Triennial
Gersemia sp.,Westcoast Triennial
Gonatus berryi,Westcoast Triennial
Gonatus californiensis,Westcoast Triennial
Gonatus pyros,Westcoast Triennial
Grimpoteuthis albatrossi,Westcoast Triennial
Hemilepidotus spinosus,Westcoast Triennial
Henricia aspera,Westcoast Triennial
Hexagrammos decagrammus,Westcoast Triennial
Hexanchus griseus,Westcoast Triennial
Histioteuthis sp.,Westcoast Triennial
Jordania zonope,Westcoast Triennial
Leptychaster sp.,Westcoast Triennial
Liparis pulchellus,Westcoast Triennial
Lithodidae,Westcoast Triennial
Lycodes pacificus,Westcoast Triennial
Melamphaidae,Westcoast Triennial
Metridium farcimen (=Metridium giganteum),Westcoast Triennial
Mollusca,Westcoast Triennial
Mya sp.,Westcoast Triennial
Mytilidae,Westcoast Triennial
Nemichthys scolopaceus,Westcoast Triennial
Neognathophausia ingens,Westcoast Triennial
Neomenia sp.,Westcoast Triennial
Nudibranchia,Westcoast Triennial
Octopus rubescens,Westcoast Triennial
Oncorhynchus gorbuscha,Westcoast Triennial
Ophidion scrippsae,Westcoast Triennial
Ophiomusium jolliensis,Westcoast Triennial
Ophiopholis longispina,Westcoast Triennial
Ophiopholis sp.,Westcoast Triennial
Ophiura sp.,Westcoast Triennial
Paguridae,Westcoast Triennial
Pagurus aleuticus,Westcoast Triennial
Pagurus sp.,Westcoast Triennial
Pandalus goniurus,Westcoast Triennial
Pandalus stenolepis,Westcoast Triennial
Paralithodes rathbuni,Westcoast Triennial
Parastichopus californicus,Westcoast Triennial
Pennatulacea,Westcoast Triennial
Pentamera sp.,Westcoast Triennial
Photonectes margarita,Westcoast Triennial
Platichthys stellatus,Westcoast Triennial
Platytroctidae,Westcoast Triennial
Polynoidae,Westcoast Triennial
Psettichthys melanostictus,Westcoast Triennial
Pseudarchaster dissonus,Westcoast Triennial
Pseudostichopus sp.,Westcoast Triennial
Pteraster militaris,Westcoast Triennial
Pycnopodia helianthoides,Westcoast Triennial
Raja inornata,Westcoast Triennial
Rhabdocalyptus sp.,Westcoast Triennial
Sebastes auriculatus,Westcoast Triennial
Sebastes carnatus,Westcoast Triennial
Sebastes emphaeus,Westcoast Triennial
Sebastes phillipsi,Westcoast Triennial
Sebastes rosaceus,Westcoast Triennial
Sebastes rosenblatti,Westcoast Triennial
Serrivomer sector,Westcoast Triennial
Solaster sp.,Westcoast Triennial
Spatangus californicus,Westcoast Triennial
Stomias atriventer,Westcoast Triennial
Stomphia coccinea,Westcoast Triennial
Taonius pavo,Westcoast Triennial
Tethya sp.,Westcoast Triennial
Thaliacea,Westcoast Triennial
Thetys vagina,Westcoast Triennial
Triakis semifasciata,Westcoast Triennial
Trichodon trichodon,Westcoast Triennial
Xeneretmus latifrons,Westcoast Triennial
