"KEY"|"CODE"|"BIOCODE"|"TAXONOMIC"|"ISACTIVE"|"CATEGORY"|"FSCS_EXCODE"|"FSCSACTIVE"|"TAXONSIZECODE"|"SVLENMIN"|"SVLENMAX"|"METHOD"|"REEFFISH"|"REEF_REDUCED"|"HMS"|"ELASMOBRANCHII"|"SHARK"|"BATOIDEA"|"COMMENTS"|"GENUSSPECIES"|"RB_BIOCODE"|"CIU_BIOCODE"|"CIU_TAXONOMIC"|"ADD_DATE"|"END_DATE"|"DNCDN"|"CHK_REEFFISH"|"CHK_REEF_REDUCED"|"NEWADD"
|"100000000"|"100000000"|"UNIDENTIFIED FISH"|1|1|"I"|"Y"||"5"|"3000"|"NOT REQUIRED"|0|0|"N"|"N"|"N"|"N"||"UNID.FISH"||"100000000"|"UNIDENTIFIED FISH"|9/16/2002 0:00:00|||||"N"
|"101000000"|"101000000"|"AMPHIOXIFORMES"|1|1|"I"|"Y"||"5"|"3000"|"NOT REQUIRED"|1|0|"N"|"N"|"N"|"N"||"AMPHIOXIFORME"||"101000000"|"AMPHIOXIFORMES"||||||"N"
|"101010000"|"101010000"|"BRANCHIOSTOMATIDAE"|1|1|"I"|"Y"||"5"|"3000"|"NOT REQUIRED"|0|0|"N"|"N"|"N"|"N"||"BRANCHIOSTOMA"||"101010000"|"BRANCHIOSTOMATIDAE"||||||"N"
|"101010100"|"101010100"|"BRANCHIOSTOMA"|1|1|"I"|"Y"||"5"|"3000"|"NOT REQUIRED"|0|0|"N"|"N"|"N"|"N"||"BRANCHIOSTOMA"||"101010100"|"BRANCHIOSTOMA"|||1|"Y"|"Y"|"N"
|"101010101"|"101010101"|"BRANCHIOSTOMA BENETTI"|1|1|"I"|"Y"|"53"|"5"|"3000"|"53-TOTAL LENGTH"|0|0|"N"|"N"|"N"|"N"||"BRANCHIBENETT"||"101010101"|"BRANCHIOSTOMA BENETTI"||||||"N"
|"101010102"|"101010102"|"BRANCHIOSTOMA BERMUDAE"|1|1|"I"|"Y"|"53"|"5"|"3000"|"53-TOTAL LENGTH"|0|0|"N"|"N"|"N"|"N"||"BRANCHIBERMUD"||"101010102"|"BRANCHIOSTOMA BERMUDAE"||||||"N"
|"101010103"|"101010103"|"BRANCHIOSTOMA FLORIDAE"|1|1|"I"|"Y"|"53"|"5"|"3000"|"53-TOTAL LENGTH"|0|0|"N"|"N"|"N"|"N"||"BRANCHIFLORID"||"101010103"|"BRANCHIOSTOMA FLORIDAE"||||||"N"
|"101010104"|"101010104"|"BRANCHIOSTOMA LONGIROSTRUM"|1|1|"I"|"Y"|"53"|"5"|"3000"|"53-TOTAL LENGTH"|0|0|"N"|"N"|"N"|"N"||"BRANCHILONGIR"||"101010104"|"BRANCHIOSTOMA LONGIROSTRUM"||||||"N"
|"101010105"|"101010105"|"BRANCHIOSTOMA VIRGINIAE"|1|1|"I"|"Y"|"53"|"5"|"3000"|"53-TOTAL LENGTH"|0|0|"N"|"N"|"N"|"N"||"BRANCHIVIRGIN"||"101010105"|"BRANCHIOSTOMA VIRGINIAE"||||||"N"
|"102000000"|"102000000"|"PETROMYZONIFORMES"|1|1|"I"|"Y"||"5"|"3000"|"NOT REQUIRED"|0|0|"N"|"N"|"N"|"N"||"PETROMYZONIFO"||"102000000"|"PETROMYZONIFORMES"||||||"N"
|"102010000"|"102010000"|"PETROMYZONIDAE"|1|1|"I"|"Y"||"5"|"3000"|"NOT REQUIRED"|0|0|"N"|"N"|"N"|"N"||"PETROMYZONIDA"||"102010000"|"PETROMYZONIDAE"||||||"N"
|"102010100"|"102010100"|"PETROMYZON"|1|1|"I"|"Y"||"5"|"3000"|"NOT REQUIRED"|0|0|"N"|"N"|"N"|"N"||"PETROMYZON"||"102010100"|"PETROMYZON"||||||"N"
|"102010101"|"102010101"|"PETROMYZON MARINUS"|1|1|"I"|"Y"|"53"|"5"|"3000"|"53-TOTAL LENGTH"|0|0|"N"|"N"|"N"|"N"||"PETROMYMARINU"||"102010101"|"PETROMYZON MARINUS"||||||"N"
|"103000000"|"103000000"|"MYXINIFORMES"|1|1|"I"|"Y"||"5"|"3000"|"NOT REQUIRED"|0|0|"N"|"N"|"N"|"N"||"MYXINIFORMES"||"103000000"|"MYXINIFORMES"||||||"N"
|"103030000"|"103030000"|"MYXINIDAE"|1|1|"I"|"Y"||"5"|"3000"|"NOT REQUIRED"|0|0|"N"|"N"|"N"|"N"||"MYXINIDAE"||"103030000"|"MYXINIDAE"||||||"N"
|"103030100"|"103030100"|"EPTATRETUS"|1|1|"I"|"Y"||"5"|"3000"|"NOT REQUIRED"|0|0|"N"|"N"|"N"|"N"||"EPTATRETUS"||"103030100"|"EPTATRETUS"||||||"N"
|"103030101"|"103030101"|"EPTATRETUS SPRINGERI"|1|1|"I"|"Y"|"53"|"5"|"3000"|"53-TOTAL LENGTH"|0|0|"N"|"N"|"N"|"N"||"EPTATRESPRING"||"103030101"|"EPTATRETUS SPRINGERI"||||||"N"
|"103030102"|"103030102"|"EPTATRETUS MINOR"|1|1|"I"|"Y"|"53"|"5"|"3000"|"53-TOTAL LENGTH"|0|0|"N"|"N"|"N"|"N"||"EPTATREMINOR"||"103030102"|"EPTATRETUS MINOR"||||||"N"
|"103030103"|"103030103"|"EPTATRETUS MULTIDENS"|1|1|"I"|"Y"|"53"|"5"|"3000"|"53-TOTAL LENGTH"|0|0|"N"|"N"|"N"|"N"||"EPTATREMULTID"||"103030103"|"EPTATRETUS MULTIDENS"||||||"N"
|"103030104"|"103030104"|"EPTATRETUS CARIBBAEUS"|1|1|"I"|"Y"|"53"|"5"|"3000"|"53-TOTAL LENGTH"|0|0|"N"|"N"|"N"|"N"||"EPTATRECARIBB"||"103030104"|"EPTATRETUS CARIBBAEUS"||||||"N"
|"103030105"|"103030105"|"EPTATRETUS MENDOZAI"|1|1|"I"|"Y"|"53"|"5"|"3000"|"53-TOTAL LENGTH"|0|0|"N"|"N"|"N"|"N"||"EPTATREMENDOZ"||"103030105"|"EPTATRETUS MENDOZAI"||||||"N"
|"103030200"|"103030200"|"MYXINE"|1|1|"I"|"Y"||"5"|"3000"|"NOT REQUIRED"|0|0|"N"|"N"|"N"|"N"||"MYXINE"||"103030200"|"MYXINE"||||||"N"
|"103030201"|"103030201"|"MYXINE GLUTINOSA"|1|1|"I"|"Y"|"53"|"5"|"3000"|"53-TOTAL LENGTH"|0|0|"N"|"N"|"N"|"N"||"MYXINE GLUTIN"||"103030201"|"MYXINE GLUTINOSA"||||||"N"
|"104000000"|"104000000"|"HETERODONTIFORMES"|1|1|"I"|"Y"||"5"|"3000"|"NOT REQUIRED"|0|0|"N"|"Y"|"Y"|"N"||"HETERODONTIFO"||"104000000"|"HETERODONTIFORMES"||||||"N"
|"104010000"|"104010000"|"HETERODONTIDAE"|1|1|"I"|"Y"||"5"|"3000"|"NOT REQUIRED"|0|0|"N"|"Y"|"Y"|"N"||"HETERODONTIDA"||"104010000"|"HETERODONTIDAE"||||||"N"
|"105000000"|"105000000"|"HEXANCHIFORMES"|1|1|"I"|"Y"||"5"|"3000"|"NOT REQUIRED"|0|0|"N"|"Y"|"Y"|"N"||"HEXANCHIFORME"||"105000000"|"HEXANCHIFORMES"||||||"N"
|"105010000"|"105010000"|"CHLAMYDOSELACHIDAE"|1|1|"I"|"Y"||"5"|"3000"|"NOT REQUIRED"|0|0|"N"|"Y"|"Y"|"N"||"CHLAMYDOSELAC"||"105010000"|"CHLAMYDOSELACHIDAE"||||||"N"
|"105010101"|"105010101"|"CHLAMYDOSELACHUS ANGUINEUS"|1|1|"I"|"Y"|"53"|"5"|"3000"|"53-TOTAL LENGTH"|0|0|"N"|"Y"|"Y"|"N"||"CHLAMYDANGUIN"||"105010101"|"CHLAMYDOSELACHUS ANGUINEUS"||||||"N"
|"105020000"|"105020000"|"HEXANCHIDAE"|1|1|"I"|"Y"||"5"|"3000"|"NOT REQUIRED"|0|0|"N"|"Y"|"Y"|"N"||"HEXANCHIDAE"||"105020000"|"HEXANCHIDAE"||||||"N"
|"105020100"|"105020100"|"HEPTRANCHIAS"|1|1|"I"|"Y"||"5"|"3000"|"NOT REQUIRED"|0|0|"N"|"Y"|"Y"|"N"||"HEPTRANCHIAS"||"105020100"|"HEPTRANCHIAS"||||||"N"
